"police_department","state","ORI","civilian_complaints_sustained_2020","civilian_complaints_reported_2020","discrimination_complaints_reported_2020","discrimination_complaints_sustained_2020"
"New York","NY","NY0303000",293,3874,253,1
"Los Angeles","CA","CA0194200",93,2097,389,0
"Las Vegas Metro PD","NV","NV0020100",0,NA,0,0
"Detroit","MI","MI8234900",278,1144,0,0
"Chicago","IL","ILCPD0000",155,2981,133,0
"Philadelphia","PA","PAPEP0000",0,NA,0,0
"Columbus","OH","OHCOP0000",67,910,13,0
"Jacksonville","FL","FL0160200",51,879,10,0
"Seattle","WA","WASPD0000",64,537,111,3
"New Orleans","LA","LANPD0000",15,330,2,0
"Portland","OR","OR0260200",49,739,30,0
"Denver","CO","CODPD0000",0,NA,0,0
"Tulsa","OK","OK0720500",0,NA,0,0
"Eugene","OR","OR0200200",0,NA,0,0
"Memphis","TN","TNMPD0000",36,488,0,0
"Orange","FL","FL0480000",174,715,9,0
"Minneapolis","MN","MN0271100",52,451,5,0
"Sacramento","CA","CA0340000",3,191,4,0
"Houston","TX","TXHPD0000",0,NA,0,0
"San Jose","CA","CA0431300",11,247,52,0
"Nashville Metropolitan","TN","TN0190100",0,NA,0,0
"Baltimore","MD","MDBPD0000",19,541,6,0
"Harris","TX","TX1010000",0,NA,0,0
"Washington","DC","DCMPD0000",0,NA,0,0
"Vancouver","WA","WA0060300",0,NA,0,0
"Colorado Springs","CO","CO0210100",0,NA,0,0
"Fort Worth","TX","TX2201200",575,119,1,0
"Fairfax County PD","VA","VA0290100",38,319,50,1
"Cleveland","OH","OHCLP0000",0,276,3,0
"Omaha","NE","NB0280200",35,161,5,0
"Atlanta","GA","GAAPD0000",0,NA,0,0
"Fort Lauderdale","FL","FL0060300",1,15,5,0
"Hollywood","FL","FL0060500",0,NA,0,0
"San Antonio","TX","TXSPD0000",0,NA,5,1
"Miami-Dade","FL","FL0130000",42,113,0,0
"Mesa","AZ","AZ0071700",15,143,1,0
"Tacoma","WA","WA0270300",15,118,5,0
"Indianapolis","IN","INIPD0000",0,NA,0,0
"Lansing","MI","MI3351900",2,42,0,0
"Scottsdale","AZ","AZ0072500",0,NA,0,0
"Columbia","SC","SC0400100",18,84,0,0
"Albuquerque","NM","NM0010100",0,NA,0,0
"Durham","NC","NC0320100",12,63,0,0
"Tampa","FL","FL0290200",0,164,9,0
"Dallas","TX","TXDPD0000",345,1386,16,0
"Miami","FL","FL0130600",1,11,1,0
"Rochester","NY","NY0270100",4,60,0,0
"St. Louis County Pol Dep","MO","MO0950000",16,30,0,0
"Wilmington","NC","NC0650200",0,NA,0,0
"Milwaukee","WI","WIMPD0000",28,189,3,0
"Gainesville","FL","FL0010100",0,34,0,0
"Billings","MT","MT0560100",18,81,0,0
"Wichita","KS","KS0870300",0,218,8,0
"Maricopa","AZ","AZ0070000",0,NA,0,0
"Gilbert","AZ","AZ0071100",15,116,9,0
"Cincinnati","OH","OHCIP0000",99,654,26,0
"Syracuse","NY","NY0330100",0,NA,0,0
"Virginia Beach","VA","VA1280000",0,NA,0,0
"Seminole","FL","FL0590000",0,NA,0,0
"Charlotte-Mecklenburg","NC","NC0600100",29,70,0,0
"Boise","ID","ID0010100",7,33,0,0
"Austin","TX","TX2270100",52,501,25,5
"Flagstaff","AZ","AZ0030100",0,NA,0,0
"Baltimore County","MD","MD0030100",10,44,1,0
"Honolulu","HI","HI0020000",29,185,0,0
"Little Rock","AR","AR0600200",0,112,0,0
"Kansas City","MO","MOKPD0000",8,236,4,0
"Kansas City","KS","KS1050200",0,NA,0,0
"Athens-Clarke County","GA","GA0290100",14,48,2,0
"Irving","TX","TX0571500",12,74,13,0
"Clearwater","FL","FL0520300",0,NA,0,0
"Spokane","WA","WA0320400",14,77,6,0
"Savannah-Chatham Metro","GA","GA0250300",0,0,0,0
"Henderson","NV","NV0020300",9,80,4,0
"Oklahoma City","OK","OK0550600",20,48,0,0
"Fort Smith","AR","AR0660100",0,NA,0,0
"Sioux Falls","SD","SD0490200",1,49,0,0
"Lakeland","FL","FL0531200",2,15,2,0
"Peoria","IL","IL0720700",8,24,3,0
"St. Louis","MO","MOSPD0000",0,NA,0,0
"Cedar Rapids","IA","IA0570100",5,34,9,0
"Anne Arundel County PD","MD","MD0020200",19,89,24,4
"Kissimmee","FL","FL0490200",1,4,1,0
"Springfield","MA","MA0071800",7,14,0,0
"Louisville Metro","KY","KY0568000",0,NA,0,0
"North Charleston","SC","SC0100800",0,9,0,0
"Buffalo","NY","NY0140100",0,59,0,0
"Chesapeake","VA","VA1030000",0,NA,0,0
"Port St. Lucie","FL","FL0560200",0,NA,1,0
"Palm Bay","FL","FL0051200",4,52,3,0
"West Palm Beach","FL","FL0500800",0,NA,0,0
"Norwalk","CT","CT0010300",0,34,0,0
"Fayetteville","NC","NC0260100",34,154,11,0
"Santa Rosa","FL","FL0570000",0,NA,0,0
"Winston-Salem","NC","NC0340200",8,19,0,0
"Elkhart","IN","IN0200100",0,NA,0,0
"Boston","MA","MA0130100",0,NA,0,0
"Rock Hill","SC","SC0460300",0,NA,0,0
"Volusia","FL","FL0640000",0,30,0,0
"Raleigh","NC","NC0920100",19,32,4,0
"St. Paul","MN","MN0620900",100,163,1,0
"Alexandria","VA","VA0990000",8,20,0,0
"South Bend","IN","IN0710200",5,48,0,0
"Ocala","FL","FL0420100",0,NA,0,0
"Cape Coral","FL","FL0360200",4,4,0,0
"Corpus Christi","TX","TX1780200",7,16,0,0
"Portland","ME","ME0030500",0,3,0,0
"Stamford","CT","CT0013500",0,NA,0,0
"Pembroke Pines","FL","FL0060800",0,NA,0,0
"Madison","WI","WI0130100",0,NA,0,0
"Miramar","FL","FL0062200",0,NA,0,0
"Sanford","FL","FL0590500",0,NA,0,0
"Edison Township","NJ","NJ0120500",4,28,0,0
"Chandler","AZ","AZ0070500",2,3,1,0
"Calvert","MD","MD0050000",0,NA,0,0
"Garland","TX","TX0571100",0,7,0,0
"St. Petersburg","FL","FL0521400",3,10,0,0
"Plantation","FL","FL0060600",0,NA,0,0
"Cary","NC","NC0920300",9,20,6,0
"Auburn","WA","WA0170100",2,4,0,0
"Oshkosh","WI","WI0710300",0,NA,0,0
"Arlington","TX","TX2200100",0,NA,5,0
"North Miami","FL","FL0131800",0,NA,0,0
"Salem","MA","MA0052800",0,NA,0,0
"Parker","CO","CO0180500",7,26,0,0
"Davie","FL","FL0061200",1,15,0,0
"Tyler","TX","TX2120400",1,4,0,0
"Glendale","AZ","AZ0071300",0,NA,0,0
"Des Moines","IA","IA0770300",0,NA,0,0
"Cheyenne","WY","WY0110100",0,NA,0,0
"Charleston","SC","SC0100100",0,3,0,0
"Coral Springs","FL","FL0062800",1,1,0,0
"Hillsboro","OR","OR0340300",0,NA,0,0
"Arapahoe","CO","CO0030000",0,NA,0,0
"Phoenix","AZ","AZ0072300",0,NA,0,0
"Pierce County","WA","WA0270000",25,254,7,1
"Canton","MI","MI8290800",12,46,5,0
"Hampton","VA","VA1110000",29,108,3,0
"Miami Gardens","FL","FL0139700",0,NA,0,0
"Santa Fe","NM","NM0260100",0,42,0,0
"Cherokee County","GA","GA0280000",0,NA,0,0
"Boulder","CO","CO0070100",9,33,0,0
"Franklin","MA","MA0111000",0,NA,0,0
"Plymouth","MA","MA0122000",5,25,0,0
"Warwick","RI","RI0020300",0,NA,0,0
"Broomfield","CO","CO0070200",0,NA,0,0
"Saratoga","NY","NY0450000",3,14,2,0
"Quincy","MA","MA0112000",1,4,0,0
"Cranston","RI","RI0040200",3,12,1,0
"New Castle County","DE","DE0020300",5,33,0,0
"Broken Arrow","OK","OK0720100",0,NA,0,0
"Jonesboro","AR","AR0160100",6,61,5,0
"Clinton","NY","NY0090000",0,NA,0,0
"Grand Prairie","TX","TX0571200",0,NA,0,0
"Springfield","MO","MO0390300",6,22,0,0
"Lynchburg","VA","VA1140000",6,45,6,0
"Bethlehem","PA","PA0480300",0,NA,0,0
"Maple Grove","MN","MN0272700",0,NA,0,0
"Somerville","MA","MA0093900",2,15,0,0
"Iowa City","IA","IA0520200",1,4,0,0
"Yuma","AZ","AZ0140500",0,NA,0,0
"North Richland Hills","TX","TX2202100",0,NA,0,0
"Goodyear","AZ","AZ0071500",1,203,0,0
"South Jordan","UT","UT0181800",0,NA,0,0
"Frederick County","MD","MD0110000",0,NA,0,0
"Pawtucket","RI","RI0040800",0,NA,0,0
"Bellingham","WA","WA0370100",0,7,0,0
"Warner Robins","GA","GA0760200",2,12,0,0
"Westland","MI","MI8281700",8,16,2,0
"Lafayette","LA","LA0280300",1,4,0,0
"New Rochelle","NY","NY0590400",6,32,0,0
"Tempe","AZ","AZ0072900",1,18,2,0
"Tuscon","AZ","AZ0100300",0,NA,0,0
"Missoula","MT","MT0320100",5,68,2,0
"Lake County","FL","FL0350000",2,6,0,0
"Appleton","WI","WI0450100",2,3,0,0
"Dekalb County","GA","GA0440200",56,186,1,0
"Homestead","FL","FL0130500",0,NA,0,0
"Elizabeth","NJ","NJ0200400",31,149,5,0
"Clayton County","GA","GA0310100",22,58,0,0
"Waukesha","WI","WI0680500",0,17,2,0
"West Valley City","UT","UT0182500",0,NA,0,0
"Surprise","AZ","AZ0072700",0,38,0,0
"Union City","NJ","NJ0135000",0,NA,0,0
"Kirkland","WA","WA0170800",1,28,2,0
"Kent","WA","WA0170700",0,NA,0,0
"Brooklyn Park","MN","MN0270300",13,65,9,0
"Fargo","ND","ND0090200",2,6,0,0
"Greensboro","NC","NC0410200",0,87,24,1
"Brick Township","NJ","NJ0150600",0,NA,0,0
"El Paso County","TX","TX0710000",0,NA,0,0
"Aurora","CO","CO0010100",0,NA,0,0
"Salt Lake City","UT","UT0180300",0,NA,0,0
"Pima County","AZ","AZ0100000",1,40,0,0
"Sarasota County","FL","FL0580000",2,6,0,0
"Farmington Hills","MI","MI6338900",0,8,0,0
"Marion County","FL","FL0420000",0,NA,0,0
"Cherry Hill Township","NJ","NJ0041200",0,NA,0,0
"Clay County","FL","FL0100000",20,105,7,0
"Baton Rouge","LA","LA0170200",0,NA,0,0
"Brevard County","FL","FL0050000",0,NA,0,0
"Osceola","FL","FL0490000",0,NA,0,0
"Thornton","CO","CO0010400",0,NA,0,0
"El Paso","TX","TX0710200",17,45,1,0
"Hidalgo County","TX","TX1080000",5,7,0,0
"Snohomish","WA","WA0310000",5,89,0,0
"Fort Wayne","IN","IN0020100",2,130,0,0
"Mansfield","TX","TX2202000",0,NA,0,0
"Arlington County","VA","VA0070100",0,NA,0,0
"Manatee","FL","FL0410000",0,121,2,0
"Orlando","FL","FL0480400",4,5,0,0
"Wilmington","DE","DE0020600",6,20,0,0
"Amarillo","TX","TX1880100",5,11,0,0
"Richmond","VA","VA1220000",13,25,0,0
"Mesquite","TX","TX0571800",5,5,0,0
"Evansville","IN","IN0820100",7,58,6,0
"Sandy Springs","GA","GA0605600",3,6,1,0
"Escambia County","FL","FL0170000",7,82,21,3
"Round Rock","TX","TX2460500",1,10,2,0
"League City","TX","TX0840800",0,3,0,0
"Killeen","TX","TX0140400",2,9,1,0
"New Bedford","MA","MA0031100",3,34,0,0
"Livonia","MI","MI8253800",1,9,3,0
"Rio Rancho","NM","NM0230600",8,67,1,0
"Lawrence","KS","KS0230100",0,4,2,1
"Meriden","CT","CT0008000",1,5,0,0
"Columbia","MO","MO0100200",6,74,5,0
"Lee County","FL","FL0360000",0,NA,0,0
"Hillsborough County","FL","FL0290000",3,78,5,0
"Edgartown","MA","MA0040200",0,1,0,0
"Eastham","MA","MA0010600",0,0,0,0
"Orleans","MA","MA0011000",1,1,0,0
"Rapid City","SD","SD0510100",6,19,0,0
"Mashpee","MA","MA0010900",0,1,0,0
"Grand Forks","ND","ND0180100",0,4,0,0
"St. Charles","MO","MO0920300",1,4,0,0
"Fallon","NV","NV0010100",0,NA,0,0
"Falmouth","MA","MA0010700",0,16,2,0
"Laredo","TX","TX2400100",6,82,0,0
"Truro","MA","MA00110300",0,1,0,0
"Papillion","NE","NB0770200",1,3,0,0
"Lancaster","NE","NB0550000",0,5,0,0
"Buffalo County","NE","NB0100000",0,3,0,0
"Kalamazoo","MI","MI3949900",10,38,4,0
"Elko","NV","NV0040100",0,3,0,0
"Anthony","NM","NM0070200",0,5,0,0
"Monongalia","WV","WV0310000",0,0,0,0
"Blue Springs","MO","MO0480100",1,11,0,0
"Corrales","NM","NM0230300",1,6,0,0
"Chesterfield","MO","MO0959A00",0,0,0,0
"Gastonia","NC","NC0360600",1,22,2,0
"Paradise Valley","AZ","AZ0071900",1,1,0,0
"Artesia","NM","NM0080100",5,22,0,0
"Juneau","AK","AK0010300",1,2,1,0
"Brewster","MA","MA0010300",0,1,0,0
"","","",0,NA,0,0
"Nantucket","MA","MA0100100",0,4,1,0
"Gallup","NM","NM0170100",4,20,2,0
"Erie","PA","PA0250200",2,22,1,0
"Yamhill County","OR","OR0360000",3,12,0,0
"Clovis","NM","NM0050100",3,12,0,0
"Harrisburg","PA","PA0220200",0,7,0,0
"Richardson","TX","TX0572000",1,6,0,0
"Dickinson","ND","ND0450100",0,4,0,0
"Bloomington","IN","IN0530100",0,2,0,0
"Benton County","OR","OR0020000",2,5,0,0
"Sandy","UT","UT0180500",4,19,0,0
"Waco","TX","TX1551200",2,9,0,0
"Brownsville","TX","TX0310100",2,8,0,0
"Providence","RI","RI0040900",3,83,0,0
"Midland","TX","TX1650100",7,16,1,0
"Pearland","TX","TX0201000",2,36,3,0
"College Station","TX","TX0210200",1,7,0,0
"Green Bay","WI","WI0050200",0,NA,0,0
"Renton","WA","WA0171300",0,2,0,0
"Sparks","NV","NV0160200",0,NA,0,0
"Las Cruces","NM","NM0070100",2,51,0,0
"Arlington Heights","IL","IL0160200",0,1,0,0
"Longview","TX","TX0920500",2,7,1,0
"Olympia","WA","WA0340100",0,3,0,0
"Evanston","IL","IL0163200",2,6,1,0
"Wahkiakum","WA","WA0350000",0,NA,0,0
"Camden","NJ","NJ0040800",0,387,3,0
"Chelan","WA","WA0040000",1,6,0,0
"Sugar Land","TX","TX0790500",0,3,0,0
"Fayetteville","AR","AR0720100",7,24,5,0
"Kittitas County","WA","WA0190000",3,NA,0,0
"Minot","ND","ND0510200",0,1,0,0
"Lynn","MA","MA0051400",0,9,1,0
"Flower Mound","TX","TX0611200",10,26,0,0
"O'Fallon","MO","MO0920100",0,3,0,0
"Albany","GA","GA0470100",8,37,0,0
"Minnehaha","SD","SD0490000",0,3,0,0
"Lancaster","PA","PA0360500",1,26,0,0
"Hobbs","NM","NM0130200",5,15,0,0
"Silver City","NM","NM0090100",3,7,0,0
"Beaverton","OR","OR0340100",0,19,0,0
"Farmington","NM","NM0240200",6,37,3,0
"John'S Creek","GA","GA0605800",7,24,0,0
"Clifton","NJ","NJ0160200",0,79,4,0
"Dennis","MA","MA0010500",0,8,0,0
"Dayton","OH","OH0570200",0,23,0,0
"Pasco","WA","WA0110200",0,20,5,0
"","","",0,NA,0,0
"Hawaii","HI","HI0010000",0,44,0,0
"Maui","HI","HI0050000",10,13,0,0
"Gaston County Sheriff","NC","NC036000",0,0,0,0
"Avondale","AZ","AZ0070100",3,4,2,1
"Prince William County","VA","VA0750300",3,35,4,0
"Bellevue","NE","NB0770100",0,52,9,0
"Frisco","TX","TX0430400",8,141,8,0
"Chattanooga","TN","TN0330100",9,96,0,0
"Hamilton","NJ","NJ0110300",0,25,3,0
"Wyoming","MI","MI4183400",0,15,0,0
"Nashua","NH","NH0064600",1,8,1,0
"Lewis County","WA","WA0210000",0,2,0,0
"Fairbanks","AK","AK0010200",0,8,0,0
"Lauderhill","FL","FL0061800",0,NA,0,0
"Paterson","NJ","NJ0160800",0,50,2,0
"Whitehall","PA","PA0390800",0,2,0,0
"Island County","WA","WA0150000",1,8,0,0
"Manchester","NH","NH0063400",4,15,1,0
"Newton","MA","MA0093300",1,10,1,0
"Glen Rock","NJ","NJ0022200",0,0,0,0
"Woodburn","OR","OR0240500",1,2,0,0
"Waukegan","IL","IL0492100",8,22,0,0
"Charleston","WV","WV0200200",0,12,0,0
"Sandwich","MA","MA0011200",1,11,0,0
"Wentzville","MO","MO0920500",3,5,0,0
"Adams County","WA","WA0010000",0,0,0,0
"Largo","FL","FL0520800",29,77,0,0
"Elgin","IL","IL0450600",0,6,0,0
"Layton","UT","UT0060300",1,10,0,0
"Edmond","OK","OK0550300",2,12,0,0
"Nye County","NV","NV0120000",4,15,0,0
"Southfield","MI","MI6375100",0,16,0,0
"New Braunfels","TX","TX0460100",1,NA,0,0
"Racine","WI","WI0520200",2,17,0,0
"Morgantown","WV","WV0310100",0,0,0,0
"Aberdeen","SD","SD0060100",1,9,0,0
"Franklin County","WA","WA0110000",1,6,1,0
"Lakewood","WA","WA0272300",2,3,1,0
"Redmond","WA","WA0171200",0,NA,0,0
"Baldwin County","AL","AL0050000",2,2,0,0
"Toms River","NJ","NJ0150700",0,10,1,0
"Scottsdale","AZ","AZ0072500",0,NA,0,0
"Umatilla","OR","OR0300000",0,0,0,0
"Centennial","CO","CO0031100",2,81,2,0
"Lancaster","CA","CA019960X",0,94,0,0
"Dearborn","MI","MI8234300",4,9,2,1
"Greece","NY","NY0275400",0,1,1,0
"Colonie","NY","NY0015300",2,13,0,0
"Upper Arlington","OH","OH0250900",0,0,0,0
"Montgomery County","MD","MD0160400",1,220,0,0
"Naples","FL","FL0110100",1,2,0,0
"Grand Rapids","MI","MI4143600",7,69,0,0
"Bossier","LA","LA0080100",5,39,0,0
"Federal Way","WA","WA0173600",3,3,0,0
"Coventry","RI","RI0020100",0,NA,0,0
"Albany","MN","MN0731400",0,0,0,0
"Albert Lea","MN","MN0240100",1,3,0,0
"Alexandria","MN","MN0210100",1,1,0,0
"Annandale","MN","MN0860600",0,0,0,0
"Anoka","MN","MN0020100",1,1,0,0
"Apple Valley","MN","MN0191000",0,4,1,0
"Appleton","MN","MN0760100",0,0,0,0
"Austin","MN","MN0500100",0,3,0,0
"Avon","MN","MN0731600",0,0,0,0
"Babbitt","MN","MN0690200",0,0,0,0
"Baxter","MN","MN0180500",0,0,0,0
"Bayport","MN","MN0820100",0,0,0,0
"Becker","MN","MN0710400",0,0,0,0
"Belgrade","MN","MN0730800",0,0,0,0
"Belle Plaine","MN","MN0700100",0,0,0,0
"Bemidiji","MN","MN0040100",1,7,3,0
"Benson","MN","MN0760200",0,0,0,0
"Big Lake","MN","MN0710100",0,0,0,0
"Blackduck","MN","MN0040200",0,0,0,0
"Blaine","MN","MN0020200",1,1,0,0
"Blooming Prairie","MN","MN0740200",0,0,0,0
"Bloomington","MN","MN0270100",0,0,0,0
"Blue Earth","MN","MN0220100",0,0,0,0
"Brainerd","MN","MN0180100",0,1,0,0
"Brooklyn Center","MN","MN0270200",4,14,0,0
"","","",0,NA,0,0
"Brownton","MN","MN0430300",0,0,0,0
"Buffalo","MN","MN0860100",0,2,0,0
"Burnsville","MN","MN0190100",1,3,0,0
"Caledonia","MN","MN0280100",0,0,0,0
"Cambridge","MN","MN0300100",6,7,0,0
"Canby","MN","MN0870100",0,0,0,0
"Cannon Falls","MN","MN0250100",1,3,1,0
"Centennial Falls","","",1,1,0,0
"Champlin","MN","MN0272900",1,2,1,0
"Chaska","MN","MN0100200",0,1,0,0
"Chisholm","MN","MN0690500",0,0,0,0
"Clara City","MN","MN0120100",0,0,0,0
"Cloquet","MN","MN0090100",0,0,0,0
"Cold Spring","MN","MN0730100",0,0,0,0
"Columbia Heights","MN","MN0020400",1,5,1,0
"Coon Rapids","MN","MN0020500",1,2,1,0
"Cottage Grove","MN","MN0820700",0,1,0,0
"Crookston","MN","MN0600100",0,0,0,0
"Crosby","MN","MN0180200",2,4,0,0
"Crystal","MN","MN0270400",2,2,1,1
"Dawson","MN","MN0370100",0,0,0,0
"Dayton","MN","MN0273200",1,1,0,0
"Deephaven","MN","MN0270500",0,0,0,0
"Detroit Lakes","MN","MN0030100",0,1,0,0
"Dilworth","MN","MN0140200",3,4,0,0
"Duluth","MN","MN0690600",12,35,2,0
"Eagan","MN","MN0190800",8,9,0,0
"Eagle Lake","MN","MN0070400",0,1,0,0
"East Grand Forks","MN","MN0600200",0,5,1,0
"Eden Prairie","MN","MN0272600",0,2,0,0
"Edina","MN","MN0270600",4,6,0,0
"Elk River","MN","MN0710200",0,1,0,0
"Elmore","MN","MN0220200",0,0,0,0
"Ely","MN","MN0690700",0,2,0,0
"Eveleth","MN","MN0690800",4,4,0,0
"Fairmont","MN","MN0460100",1,3,0,0
"Faribault","MN","MN0660100",0,7,0,0
"Farmington","MN","MN0190200",0,1,1,0
"Fergus Falls","MN","MN0560100",1,1,0,0
"Floodwood","MN","MN0691500",0,0,0,0
"Forest Lake","MN","MN0820200",1,2,0,0
"Fridley","MN","MN0020600",0,1,0,0
"Gilbert","MN","MN0690900",0,2,0,0
"Glencoe","MN","MN0430100",0,0,0,0
"Glenwood","MN","MN0610100",0,0,0,0
"Golden Valley","MN","MN0270800",0,2,1,0
"Goodview","MN","MN0850300",0,1,0,0
"Grand Rapids","MN","MN0310300",0,1,0,0
"Granite Falls","MN","MN0870200",0,0,0,0
"Hallock","MN","MN0350100",0,0,0,0
"Hastings","MN","MN0190300",1,2,0,0
"Hermantown","MN","MN0691700",0,0,0,0
"Hibbing","MN","MN0691000",0,0,0,0
"Hokah","MN","MN0280500",0,0,0,0
"Hopkins","MN","MN0270900",0,9,0,0
"Houston","MN","MN0280200",0,0,0,0
"Hutchinson","MN","MN0430200",0,2,0,0
"International Falls","MN","MN0360100",0,0,0,0
"Inver Grove Heights","MN","MN0190900",0,2,0,0
"Janesville","MN","MN0810100",0,1,0,0
"Jordan","MN","MN0700200",2,3,0,0
"Kasson","MN","MN0200200",0,0,0,0
"Kenyon","MN","MN0250400",0,0,0,0
"La Crescent","MN","MN0280300",0,0,0,0
"Lake City","MN","MN0790100",0,0,0,0
"Lake Crystal","MN","MN0070500",2,2,0,0
"Lakefield","MN","MN0320200",0,0,0,0
"Lakeville","MN","MN0191100",7,7,0,0
"Lakes Area","MN","MN0130900",0,1,0,0
"Le Sueur","MN","MN0400200",2,4,0,0
"Lester Prairie","MN","MN0430400",0,0,0,0
"Lewiston","MN","MN0850400",0,1,0,0
"Lino Lakes","MN","MN0020700",0,0,0,0
"Litchfield","MN","MN0470100",0,0,0,0
"Little Falls","MN","MN0490100",0,5,0,0
"Long Prairie","MN","MN0770100",0,0,0,0
"Mankato Department Of Public Safety","MN","MN0070100",3,9,1,0
"","","",0,NA,0,0
"Mapleton","MN","MN0070200",0,0,0,0
"Maplewood","MN","MN0620400",4,10,3,0
"Marshall","MN","MN0420100",0,0,0,0
"Medina","MN","MN0273000",0,0,0,0
"Melrose","MN","MN0730200",0,0,0,0
"Mendota Heights","MN","MN0190400",1,8,2,0
"Milaca","MN","MN0480100",0,0,0,0
"Minnetonka","MN","MN0271200",0,2,0,0
"Minnetrista Public Safety","MN","MN0272800",0,0,0,0
"Montevideo","MN","MN0120200",0,0,0,0
"Montgomery","MN","MN0400300",0,0,0,0
"Moorhead","MN","MN0140400",0,3,1,0
"Moose Lake","MN","MN0090200",2,4,0,0
"Morris","MN","MN0750100",0,0,0,0
"Mounds View","MN","MN0620500",0,0,0,0
"Mountain Lake","MN","MN0170100",0,0,0,0
"Nashwauk","MN","MN0310500",0,0,0,0
"New Brighton","MN","MN0620600",0,0,0,0
"New Hope","MN","MN0271400",0,0,0,0
"New Prague","MN","MN0700300",0,0,0,0
"New Richland","MN","MN0810200",0,0,0,0
"New Ulm","MN","MN0080100",0,0,0,0
"North Branch","MN","MN0130500",0,0,0,0
"Northfield","MN","MN0660200",1,3,1,0
"North Mankato","MN","MN0520100",0,1,0,0
"North St. Paul","MN","MN0620700",0,0,0,0
"Oakdale","MN","MN0820800",0,0,0,0
"Oak Park Heights","MN","MN0821400",0,0,0,0
"Olivia","MN","MN0650300",0,0,0,0
"Orono","MN","MN0271500",0,1,0,0
"Ortonville","MN","MN0060100",0,0,0,0
"Osakis","MN","MN0210200",0,0,0,0
"Osseo","MN","MN0271600",1,1,0,0
"Owatonna","MN","MN0740100",5,7,0,0
"Park Rapids","MN","MN0290100",0,0,0,0
"Paynesville","MN","MN0730300",0,1,0,0
"Plainview","MN","MN0790200",0,0,0,0
"Plymouth","MN","MN0271700",3,5,1,0
"Princeton","MN","MN0480200",0,1,0,0
"Prior Lake","MN","MN0700900",0,0,0,0
"Proctor","MN","MN0691300",0,0,0,0
"Ramsey","MN","MN0021300",0,24,16,0
"Red Wing","MN","MN0250300",0,6,1,0
"Redwood Falls","MN","MN0640200",0,0,0,0
"Richfield","MN","MN0271800",3,3,0,0
"Robbinsdale","MN","MN0271900",0,2,1,0
"Rochester","MN","MN0550100",2,3,0,0
"Rogers","MN","MN0273400",3,4,0,0
"Roseau","MN","MN0680100",0,0,0,0
"Roseville","MN","MN0620800",2,2,0,0
"Sartell","MN","MN0731200",4,6,0,0
"Sauk Centre","MN","MN0730500",0,0,0,0
"Sauk Rapids","MN","MN0050200",0,0,0,0
"Savage","MN","MN0700600",0,1,0,0
"Shakopee","MN","MN0700400",3,4,0,0
"Silver Bay","MN","MN0380100",0,4,2,0
"Silver Lake","MN","MN0430500",0,NA,0,0
"Slayton","MN","MN0510200",0,0,0,0
"Sleepy Eye","MN","MN0080200",0,0,0,0
"South Lake Minnetonka","MN","MN0270700",0,0,0,0
"South St Paul","MN","MN0190600",2,2,0,0
"Spring Grove","MN","MN0280400",0,0,0,0
"Spring Lake Park","MN","MN0020800",0,0,0,0
"Springfield","MN","MN0080300",0,0,0,0
"St. Anthony","MN","MN0272000",0,0,0,0
"St. Charles","MN","MN0850100",1,3,0,0
"St. Cloud","MN","MN0730400",3,5,0,0
"St. Francis","MN","MN0021500",1,2,0,0
"St. James","MN","MN0830200",0,0,0,0
"St. Joseph","MN","MN0731100",0,0,0,0
"St. Louis Park","MN","MN0272100",1,7,2,0
"St. Paul Park","MN","MN0820500",0,0,0,0
"Staples","MN","MN0770200",0,1,0,0
"Stillwater","MN","MN0820600",0,1,0,0
"Thief River Falls","MN","MN0570100",0,0,0,0
"Tracy","MN","MN0420200",0,0,0,0
"Two Harbors","MN","MN0380200",0,0,0,0
"Virginia","","",0,2,1,0
"Wabasha","MN","MN0790300",0,0,0,0
"Wadena","MN","MN0800100",0,1,0,0
"Waite Park","MN","MN0730600",2,2,0,0
"Warroad","MN","MN0680200",0,0,0,0
"Waseca","MN","MN0810300",0,5,2,0
"Wayzata","MN","MN0272300",0,0,0,0
"Wells","MN","MN0220400",0,0,0,0
"West Hennepin Public Safety","MN","MN0273700",0,0,0,0
"West St. Paul","MN","MN0190700",0,4,1,0
"Wheaton","MN","MN0780200",1,1,0,0
"White Bear Lake","MN","MN0621000",0,0,0,0
"Willmar","MN","MN0340100",0,0,0,0
"Windom","MN","MN0170200",1,3,0,0
"Winnebago Public Safety","MN","MN0220500",0,4,0,0
"Winona","MN","MN0850200",1,3,2,0
"Winsted","MN","MN0430700",1,1,0,0
"Woodbury","MN","MN0821100",0,1,0,0
"Worthington","MN","MN0530100",0,2,0,0
"Wyoming","MN","MN0130800",0,0,0,0
"Zumbrota","MN","MN0250800",0,0,0,0
"Aitkin County","MN","MN0010000",0,0,0,0
"Anoka County","MN","MN0020000",8,8,0,0
"Becker County","MN","MN0030000",0,1,0,0
"Beltrami County","MN","MN0040000",1,7,2,0
"Benton County","MN","MN0050000",1,4,0,0
"Big Stone County","MN","MN0060000",0,0,0,0
"Blue Earth County","MN","MN0070000",0,2,2,0
"Brown County","MN","MN0080000",0,0,0,0
"Carlton County","MN","MN0090000",0,1,0,0
"Carver County","MN","MN0100000",3,17,2,0
"Cass County","MN","MN0110000",2,9,1,0
"Chippewa County","MN","MN0120000",0,0,0,0
"Chisago County","MN","MN0130000",0,0,0,0
