"Total_Less_lethal_force_2020","ORI","Population","Police Department"
NA,"FL0490000",257516,"Osceola County Sheriff's Office"
49,"NV0020200",256217,"North Las Vegas Police Department"
21,"TX1080000",256027,"Hidalgo County Sheriff's Office"
80,"NY0140100",254627,"Buffalo Police Department"
NA,"FL0050000",248363,"Brevard County Sheriff"
NA,"VA1030000",247118,"Chesapeake Police Department"
24,"GA0580000",246121,"Forsyth County Sheriff's Office"
39,"CA0010500",244259,"Fremont Police Department"
NA,"OR0340000",243892,"Washington County Sheriff's Office"
72,"GA0310100",243077,"Clayton County Police Department"
52,"TX0571500",242976,"Irving Police Department"
74,"OR0030000",242246,"Clackamas County Sheriff"
72,"TX0571100",241455,"Garland Police Department"
71,"FL0640000",241008,"Volusia County Sheriff"
10,"VA0070100",239931,"Arlington County Police Department"
73,"GA0250300",237691,"Savannah Police Department"
57,"NY0270000",236185,"Monroe County Sheriff"
83,"VA1220000",233350,"Richmond Police Department"
24,"ID0010100",231223,"Boise Police Department"
NA,"WA0060000",231163,"Clark County Sheriff's Office"
NA,"SC0320000",226184,"Lexington County Sheriff's Department"
NA,"FL0590000",225869,"Seminole County Sheriff's Office"
62,"WA0320400",223524,"Spokane Police Department"
67,"WA0270300",220123,"Tacoma Police Department"
130,"LA0170200",219245,"Baton Rouge Police Department"
75,"CA0500200",216560,"Modesto Police Department"
NA,"CA0361000",216365,"San Bernardino Police Department"
42,"MD0130000",215372,"Harford County Sheriff's Office"
14,"NC0260100",212033,"Fayetteville Police Department"
109,"CA0560400",210064,"Oxnard Police Department"
16,"TX0430500",208335,"McKinney Police Department"
NA,"LA0520000",208050,"St. Tammany Parish Sheriff's Office"
17,"FL0560200",206450,"Port St. Lucie Police Department"
427,"NY0270100",205199,"Rochester Police Department"
20,"FL0100000",204275,"Clay County Sheriff's Department"
NA,"UT0180300",202187,"Salt Lake City Police Department"
25,"HI0010000",201269,"Hawaii County Police Department"
NA,"NY0590700",200816,"Yonkers Police Department"
21,"CA0192500",200168,"Glendale Police Department"
32,"CA0301000",200128,"Huntington Beach Police Department"
NA,"AZ0072900",199935,"Tempe Police Department"
36,"FL0360200",199503,"Cape Coral Police Department"
69,"AR0600200",197688,"Little Rock Police Department"
84,"FL0370300",196012,"Tallahassee Police Department"
49,"GA1060100",195998,"Columbus Police Department"
NA,"CO0210000",192152,"El Paso County Sheriff"
63,"CA0420000",188805,"Santa Barbara Sheriff"
43,"TN0470100",188672,"Knoxville Police Department"
NA,"LA0170000",187742,"East Baton Rouge Parish Sheriff's Department"
77,"FL0270000",187160,"Hernando County Sheriff's Office"
44,"WA0060300",186440,"Vancouver Police Department"
