"Total_Less_lethal_force_2020","ORI","Population","Police Department"
NA,"CT0008900",72412,"New Britain Police Department"
NA,"MS0300000",72201,"Jackson County Sheriff's Office"
33,"CA0120000",72108,"Humboldt County Sheriff's Office"
NA,"IN0640000",72079,"Porter County Sheriff's Office"
NA,"IN0790100",72040,"Lafayette Police Department"
34,"RI0040800",72017,"Pawtucket Police Department"
12,"NC0670100",71842,"Jacksonville Police Department"
4,"CA0200000",71837,"Madera County Sheriff's Office"
NA,"CA0360800",71820,"Redlands Police Department"
28,"GA0470100",71567,"Albany Police Department"
NA,"TX2202100",71520,"North Richland Hills Police Department"
NA,"NJ0041200",71220,"Cherry Hill Township Police Department"
NA,"TN0780000",71094,"Sevier County Sheriff's Office"
NA,"AZ0090000",71066,"Navajo County Sheriff's Office"
NA,"CA0071200",70849,"Walnut Creek Police Department"
NA,"LA0280000",70679,"Lafayette Parish Sheriff's Office"
30,"FL0130500",70538,"Homestead Police Department"
16,"OH0760400",70124,"Canton Police Department"
NA,"TX0790100",70121,"Missouri City Police Department"
NA,"OH0670000",70100,"Portage County Sheriff's Office"
7,"CA0570100",69853,"Davis Police Department"
NA,"NJ0160700",69610,"Passaic Police"
NA,"UT0290000",69344,"Weber County Sheriff's Office"
47,"FL0660000",69105,"Walton County Sheriff's Office"
NA,"NY0590000",69019,"Westchester County Dept Pub Safety"
62,"LA0080100",68869,"Bossier City Police Department"
NA,"MN0820000",68561,"Washington County Sheriff's Office"
NA,"NY0220000",67464,"Jefferson County Sheriff"
NA,"NY0590300",67339,"Mount Vernon Police Department"
NA,"CA0195600",66729,"Redondo Beach Police Department"
4,"OH0130000",66544,"Clermont County Sheriff's Office"
NA,"OH0450000",66397,"Licking County Sheriff's Office"
99,"AR0600300",66303,"North Little Rock Police Department"
18,"ME0030500",66229,"Portland Police Department"
4,"NJ0180800",66138,"Franklin Township Police"
NA,"MT0150000",65914,"Flathead County Sheriff's Office"
6,"WV0310000",65877,"Monongalia County Sheriff's Office"
NA,"NJ0120900",65537,"Old Bridge Township Police"
NA,"NM0240000",65456,"San Juan County Sheriff's Office"
NA,"MI3313300",65350,"Ingham County Sheriff's Office"
27,"CA0210000",65298,"Marin County Sheriff's Office"
NA,"NY0460100",65176,"Schenectady Police Department"
NA,"NJ0133100",65170,"Middletown Police"
NA,"CA0440200",65073,"Santa Cruz Police Department"
NA,"NJ0090100",65013,"Bayonne Police"
15,"WY0110100",64751,"Cheyenne Police Department"
NA,"NC0120000",64725,"Burke County Sheriff's Office"
NA,"MI3813800",64321,"Jackson County Sheriff's Office"
NA,"NJ0070600",64320,"East Orange Police"
13,"MA0122000",64199,"Plymouth Police Department"
NA,"NJ0041500",63755,"Gloucester Township Police"
14,"NC0740000",63698,"Pitt County Sheriff's Office"
22,"OR0200600",63666,"Springfield Police Department"
NA,"OR0090000",63633,"Deschutes County Sheriff's Office"
NA,"NY0350000",63383,"Orange County Sheriff"
NA,"FL0131800",63109,"North Miami Police Department"
NA,"AZ0140000",62278,"Yuma County Sheriff's Office"
NA,"VA0820000",62154,"Rockingham County Sheriff's Office"
11,"NY0580000",61892,"Wayne County Sheriff's Office"
NA,"NC0680100",61755,"Chapel Hill Police Department"
17,"CA0370900",61710,"National City Police Department"
NA,"ME0100000",61701,"Penobscot County Sheriff's Office"
12,"WI0450100",61661,"Appleton Police Department"
NA,"IL0450000",61498,"Kane County Sheriff's Office"
47,"WA0272300",61432,"Lakewood Police Department"
43,"FL0420100",61275,"Ocala Police Department"
NA,"NY0440000",61104,"St. Lawrence County Sheriff"
NA,"OH0470000",61097,"Lorain County Sheriff's Office"
NA,"NY0540000",61078,"Tompkins County Sheriff"
0,"OH0850000",60943,"Wayne County Sheriff's Office"
9,"WA0150000",60732,"Island County Sheriff's Office"
NA,"NJ0090800",60567,"North Bergen Police"
NA,"NY0090000",60338,"Clinton County Sheriff's Department"
9,"FL0540000",60178,"Putnam County Sheriff's Office"
NA,"FL0120000",59544,"Columbia County Sheriff's Office"
NA,"NY0320200",59483,"Utica Police Department"
7,"WA0030200",59370,"Richland Police Department"
0,"OH0314200",59307,"Colerain Township Police Department"
NA,"NJ0061400",59288,"Vineland Police"
30,"PA0360500",59264,"Lancaster Police Department"
7,"CO0180500",59245,"Parker Police Department"
25,"CT0008000",59238,"Meriden Police Department"
0,"OH0314400",59175,"Green Township Police Department"
NA,"MD0174100",59008,"Bowie Police Department"
NA,"FL0580100",59002,"Sarasota Police Department"
NA,"NY0500000",58880,"Steuben County Sheriff"
2,"NJ0201900",58613,"Union City Police Department"
41,"IN0840800",NA,"Terre Haute Police Department"
2,"MI4414400",58332,"Lapeer County Sheriff's Office"
NA,"NY0590200",58240,"White Plains Police Department"
NA,"NJ0151100",58120,"Jackson Township Police"
19,"CT0007700",57510,"Manchester Police Department"
NA,"NC0680000",57142,"Orange County Sheriff's Office"
NA,"NJ0121700",56870,"Piscataway Township Police"
NA,"NM0260000",56813,"Santa Fe County Sheriff's Office"
13,"WA0230000",56506,"Mason County Sheriff's Office"
NA,"NY0147200",56503,"Tonawanda Town Police Department"
10,"IL1010000",56203,"Winnebago County Sheriff's Office"
14,"MO0480100",56193,"Blue Springs Police Department"
NA,"NY0060000",56186,"Chautauqua County Sheriff"
6,"ND0180100",56163,"Grand Forks Police Department"
NA,"MN0690000",56157,"St. Louis County Sheriff's Office"
NA,"GA0920000",56068,"Lowndes County Sheriff's Office"
NA,"PA0480300",55921,"Bethlehem Police Department"
14,"NJ0121400",55701,"New Brunswick Police"
NA,"WI0560000",55533,"St. Croix County Sheriff's Office"
NA,"NC0140000",55427,"Caldwell County Sheriff's Office"
NA,"CO0510000",55372,"Pueblo County Sheriff's Office"
NA,"GA0760000",55284,"Houston County Sheriff's Office"
NA,"NY0290600",55230,"Hempstead Village Police Department"
NA,"NY0410000",54944,"Rensselaer County Sheriff"
57,"ME0030000",54830,"Cumberland County Sheriff's Office"
5,"OH0710000",54712,"Ross County Sheriff's Office"
NA,"WI0370000",54449,"Marathon County Sheriff's Office"
16,"GA0230000",54408,"Catoosa County Sheriff's Office"
NA,"NJ0070900",54306,"Irvington Police"
26,"NB0770100",53761,"Bellevue Police Department"
93,"WA0340100",53571,"Olympia Police Department"
2,"OH0280000",53489,"Geauga County Sheriff's Office"
NA,"NJ0091200",52977,"West New York Police"
NA,"NJ0090500",52902,"Hoboken Police"
10,"GA0560000",52901,"Fayette County Sheriff's Office"
NA,"OH0600000",52880,"Muskingum County Sheriff's Office"
NA,"IN0200100",52416,"Elkhart Police Department"
NA,"NJ0131900",52048,"Howell Township Police"
NA,"ME0060000",51983,"Kennebec County Sheriff's Office"
NA,"CT0013800",51895,"Stratford Police Department"
NA,"MN0730000",51830,"Stearns County Sheriff's Office"
2,"NJ0121600",51384,"Perth Amboy Police Department"
NA,"SC0220000",51374,"Georgetown County Sheriff's Office"
NA,"NJ0142900",51317,"Parsippany-Troy Hills Police"
NA,"VA0330000",51263,"Franklin County Sheriff's Office"
NA,"NY0520000",51177,"Sullivan County Sheriff"
NA,"NY0515800",51162,"Southampton Town Police Department"
NA,"KY1000000",50699,"Pulaski County Sheriff's Office"
NA,"OH0700000",50688,"Richland County Sheriff's Office"
NA,"AR0720000",50679,"Washington County Sheriff's Office"
NA,"TX1110000",50579,"Hood County Sheriff's Office"
NA,"OH0480000",50417,"Lucas County Sheriff's Office"
NA,"NC0810000",50406,"Rutherford County Sheriff's Office"
NA,"VA0160000",50341,"Campbell County Sheriff's Office"
NA,"NJ0201200",50333,"Plainfield Police Department"
NA,"NJ0070200",50221,"Bloomfield Police"
NA,"VA0440000",50133,"Henry County Sheriff's Office"
NA,"NY0270200",49889,"Irondequoit Town Police Department"
3,"WI0450000",49475,"Outagamie County Sheriff's Office"
0,"OH0770000",49423,"Summit County Sheriff's Office"
NA,"OH0040000",49288,"Ashtabula County Sheriff's Office"
87,"FL0440000",49260,"Monroe County Sheriff's Office"
NA,"PA0220200",49244,"Harrisburg Police Department"
5,"MN0272100",49058,"St. Louis Park Police Department"
NA,"NY0410200",49052,"Troy Police Department"
5,"WA0210000",48522,"Lewis County Sheriff's Office"
52,"OR0220100",48329,"Albany Police Department"
7,"ND0510200",48108,"Minot Police Department"
NA,"NY0040000",48039,"Cattaraugus County Sheriff"
NA,"TX2200000",47818,"Tarrant County Sheriff's Office"
2,"VA1020000",47671,"Charlottesville Police Department"
NA,"NJ0072200",47666,"West Orange Police"
NA,"NJ0120400",47573,"East Brunswick Township Police"
NA,"NJ0081800",47551,"Washington Township Police"
2,"MO0959A00",47544,"Chesterfield Police Department"
7,"RI0040400",47542,"East Providence Police Department"
NA,"NY0310200",47474,"Niagara Falls Police Department"
30,"NM0030100",47451,"Roswell Police Department"
NA,"IL0100000",47342,"Champaign County Sheriff's Office"
24,"NV0120000",47026,"Nye County Sheriff's Office"
NA,"WI0600000",46939,"Sheboygan County Sheriff's Office"
NA,"NY0560000",46897,"Warren County Sheriff's Office"
NA,"MO0100000",46739,"Boone County Sheriff's Office"
NA,"TX1550000",46585,"McLennan County Sheriff's Office"
NA,"NY0146500",46513,"Hamburg Town Police Department"
16,"OH0181800",46272,"Euclid Police Department"
NA,"NC0640000",46087,"Nash County Sheriff's Office"
NA,"NY0390000",46063,"Putnam County Sheriff"
13,"WV0200200",46038,"Charleston Police Department"
NA,"NJ0122100",45877,"South Brunswick Township Police"
NA,"NM0320000",45858,"Valencia County Sheriff's Office"
11,"WA0050000",45699,"Clallam County Sheriff's Office"
NA,"NJ0121300",45653,"Monroe Township Police"
NA,"NY0050000",45642,"Cayuga County Sheriff's Office"
3,"MD0180000",45484,"Queen Anne's County Sheriff's Office"
0,"NY0276700",45449,"Webster Town and Village Police Department"
NA,"NY0147400",45278,"West Seneca Town Police Department"
NA,"NJ0031300",45148,"Evesham Township Police"
NA,"OH0430000",44992,"Lake County Sheriff's Office"
4,"OR0360000",44949,"Yamhill County Sheriff's Office"
NA,"OR0260000",44941,"Multnomah County Sheriff's Office"
NA,"NY0595300",44727,"Greenburgh Town Police Department"
0,"OH0185100",44623,"Strongsville Police Department"
NA,"MT0320000",44579,"Missoula County Sheriff's Office"
NA,"GA0160000",44302,"Bulloch County Sheriff's Office"
NA,"NJ0121900",44282,"Sayreville Police"
NA,"NJ0022300",44264,"Hackensack Police"
23,"NM0240200",44191,"Farmington Police Department"
14,"MA0010100",44169,"Barnstable Police Department"
NA,"GA1260000",44120,"Spalding County Sheriff's Office"
NA,"NY0030100",44083,"Binghamton Police Department"
NA,"IN0840000",44035,"Vigo County Sheriff's Office"
NA,"NJ0180600",44006,"Bridgewater Township Police"
20,"WA0130000",43944,"Grant County Sheriff's Office"
NA,"NJ0151800",43856,"Manchester Township Police"
0,"OH0181500",43725,"Cleveland Heights Police Department"
3,"MO0920500",43449,"Wentzville Police Department"
NA,"CA0170000",43400,"Lake County Sheriff"
1,"NY0380000",43171,"Otsego County Sheriff's Office"
2,"NY0260000",43099,"Madison County Sheriff's Office"
NA,"NY0100000",43015,"Columbia County Sheriff"
3,"NY0290400",42962,"Freeport Village Police Department"
NA,"OH0131500",42931,"Miami Township Police Department"
NA,"WA0040000",42928,"Chelan County Sheriff's Office"
19,"VT0040100",42862,"Burlington Police Department"
NA,"NJ0200900",42515,"Linden Police"
59,"LA0480000",42391,"St. John the Baptist Parish Sheriff's Office"
NA,"NC0160000",42215,"Carteret County Sheriff's Office"
NA,"NJ0150500",42168,"Berkeley Township Police"
NA,"TX0910000",42121,"Grayson County Sheriff's Office"
NA,"NJ0010800",42110,"Egg Harbor Township Police"
NA,"NY0550000",41917,"Ulster County Sheriff"
NA,"NY0570000",41826,"Washington County Sheriff"
NA,"NC0240000",41805,"Columbus County Sheriff's Office"
1,"OH0440000",41804,"Lawrence County Sheriff's Office"
NA,"NJ0121500",41383,"North Brunswick Township Police"
0,"OH0320100",41237,"Findlay Police Department"
NA,"NJ0032500",41179,"Mount Laurel Township Police"
NA,"NJ0090700",41037,"Kearny Police"
NA,"NJ0026000",40290,"Teaneck Police"
NA,"OH0762400",40270,"Jackson Township Police Department"
2,"WA0030000",40256,"Benton County Sheriff's Office"
NA,"NJ0181000",40210,"Hillsborough Township Police"
3,"MA0080100",40061,"Amherst Police Department"
NA,"NY0070000",39899,"Chemung County Sheriff"
16,"NM0130200",39751,"Hobbs Police Department"
NA,"NY0530000",39668,"Tioga County Sheriff"
NA,"NJ0132800",39593,"Marlboro Township Police"
NA,"NJ0132600",39353,"Manalapan Township Police"
4,"CA0191800",39218,"Culver City Police Department"
NA,"NY0136300",38934,"Poughkeepsie Town Police Department"
NA,"NJ0021900",38921,"Fort Lee Police"
NA,"NY0250000",38801,"Livingston County Sheriff"
NA,"MI2512500",38705,"Genesee County Sheriff"
NA,"OH0500200",38625,"Boardman Police Department"
NA,"NJ0071300",38621,"Montclair Police"
NA,"CT0010400",38576,"Norwich Police Department"
NA,"NJ0043600",38460,"Winslow Township Police"
14,"NM0050100",38326,"Clovis Police Department"
NA,"NY0180000",37985,"Genesee County Sheriff"
NA,"NY0146700",37633,"Lancaster Town Police Department"
NA,"NJ0010200",37550,"Atlantic City Police"
NA,"NY0435200",37320,"Orangetown Town Police Department"
NA,"OH0840000",37251,"Washington County Sheriff's Office"
NA,"NY0435100",37034,"Haverstraw Town Police Department"
NA,"WI0540100",36921,"Beloit Police Department"
NA,"NY0160000",36872,"Franklin County Sheriff"
1,"OH0150000",36830,"Columbiana County Sheriff's Office"
22,"MN0620800",36675,"Roseville Police Department"
NA,"NJ0070100",36533,"Belleville Police"
NA,"NJ0110200",36325,"Ewing Township Police"
NA,"NY0596800",36284,"Yorktown Town Police Department"
6,"WI0710000",36249,"Winnebago County Sheriff's Office"
NA,"OH0313400",35947,"Springfield Township Police Department"
NA,"NY0275000",35853,"Brighton Town Police Department"
1,"OH0250400",35738,"Gahanna Police Department"
NA,"NJ0042700",35698,"Pennsauken Township Police"
NA,"SC0260600",35658,"Myrtle Beach Police Department"
0,"OH0250900",35557,"Upper Arlington Police Department"
NA,"NJ0011100",35444,"Galloway Township Police"
NA,"NY0015100",35039,"Bethlehem Town Police Department"
0,"OH0520100",34948,"Brunswick Police Department"
1,"RI0020100",34740,"Coventry Police Department"
2,"OH0500100",34688,"Austintown Police Department"
NA,"NJ0131600",34456,"Freehold Township Police"
1,"MA0111000",34281,"Franklin Police Department"
NA,"OH0160000",34211,"Coshocton County Sheriff's Office"
NA,"NY0015200",34103,"Guilderland Town Police Department"
NA,"NY0395000",34093,"Carmel Town Police Department"
23,"OH0290000",33871,"Greene County Sheriff's Office"
18,"CA0191000",33776,"Beverly Hills Police Department"
NA,"NY0290200",33461,"Long Beach Police Department"
NA,"NY0515500",33461,"Riverhead Town Police Department"
NA,"NJ0021700",32910,"Fair Lawn Police"
10,"RI0040700",32652,"North Providence Police Department"
5,"OH0760800",32617,"Massillon Police Department"
NA,"NY0080000",32422,"Chenango County Sheriff"
NA,"NY0432800",32356,"Spring Valley Village Police Department"
NA,"NJ0110700",32282,"Lawrence Township Police"
NA,"NJ0031700",32048,"Willingboro Police"
NA,"NY0320100",31978,"Rome Police Department"
18,"AK0010300",31925,"Juneau Police Department"
NA,"NJ0022100",31908,"Garfield Police"
NA,"NY0356300",31691,"Newburgh Town Police Department"
NA,"NJ0111000",31458,"Princeton Police"
6,"CO0300500",31451,"Wheat Ridge Police Department"
1,"FL0480600",31183,"Winter Park Police Department"
5,"OH0183400",31176,"North Olmsted Police Department"
5,"WA0240000",31082,"Okanogan County Sheriff's Office"
NA,"NY0540100",30927,"Ithaca Police Department"
NA,"AK0010200",30832,"Fairbanks Police Department"
11,"WV0310100",30775,"Morgantown Police Department"
NA,"MA0010700",30769,"Falmouth Police Department"
NA,"NY0120000",30577,"Delaware County Sheriff"
NA,"NJ0071700",30541,"Orange Police"
NA,"NY0130200",30480,"Poughkeepsie Police Department"
NA,"NJ0071000",30372,"Livingston Police"
7,"RI0050300",30238,"South Kingstown Police Department"
NA,"NJ0132500",30175,"Long Branch Police"
NA,"NJ0201300",30157,"Rahway Police"
NA,"NY0310300",30104,"North Tonawanda Police Department"
NA,"NY0465400",30071,"Rotterdam Town Police Department"
0,"OH0183600",30007,"North Royalton Police Department"
0,"OH0030000",29783,"Ashland County Sheriff's Office"
10,"OH0182000",27283,"Garfield Heights Police Department"
NA,"NY0146000",29653,"Orchard Park Town Police Department"
NA,"NJ0151200",29524,"Lacey Township Police"
NA,"NJ0202000",29389,"Westfield Police"
NA,"NY0590600",29181,"Port Chester Village Police Department"
NA,"NY0357800",29159,"Wallkill Town Police Department"
NA,"NJ0043400",29130,"Voorhees Township Police"
NA,"NY0595400",29110,"Harrison Town Police Department"
NA,"NJ0142700",28973,"Mount Olive Township Police"
NA,"NY0060200",28842,"Jamestown Police Department"
NA,"NY0170000",28811,"Fulton County Sheriff"
NA,"NB0550000",28807,"Lancaster County Sheriff's Office"
NA,"NY0335100",28755,"Cicero Town Police Department"
13,"SD0490000",28718,"Minnehaha County Sheriff's Office"
NA,"NY0036400",28639,"Vestal Town Police Department"
10,"OH0360000",28556,"Highland County Sheriff's Office"
NA,"NJ0021500",28514,"Englewood Police"
10,"SD0060100",28494,"Aberdeen Police Department"
NA,"NY0600000",28481,"Wyoming County Sheriff"
21,"MA0081200",28428,"Northampton Police Department"
NA,"NJ0071600",28408,"Nutley Police"
NA,"NY0450100",28397,"Saratoga Springs Police Department"
NA,"NY0275300",28222,"Gates Town Police Department"
NA,"NY0350100",28194,"Middletown Police Department"
NA,"NY0350200",28095,"Newburgh City Police Department"
NA,"NJ0153000",28029,"Stafford Township Police"
0,"OH0762300",28005,"Perry Township Police Department"
NA,"NY0356700",27980,"New Windsor Town Police Department"
NA,"NJ0111300",27944,"West Windsor Township Police"
NA,"NY0210000",27783,"Herkimer County Sheriff"
NA,"NJ0020300",27347,"Bergenfield Police"
6,"NJ0133400",27320,"Neptune Township Police"
6,"NJ0061000",27272,"Millville Police"
NA,"NJ0110100",27265,"East Windsor Township Police"
NA,"NY0290100",27186,"Glen Cove Police Department"
NA,"NJ0180200",27130,"Bernards Township Police"
NA,"NY0595700",26966,"Mount Pleasant Town Police Department"
NA,"NJ0033000",26875,"Pemberton Township Police"
NA,"OH0184800",26859,"Shaker Heights Police Department"
NA,"NY0360000",26849,"Orleans County Sheriff"
NA,"NY0070100",26820,"Elmira Police Department"
NA,"CA0070600",26524,"Hercules Police Department"
10,"OR0240500",26521,"Woodburn Police Department"
NA,"NJ0133700",26462,"Ocean Township Police"
6,"OH0850300",26424,"Wooster Police Department"
NA,"NJ0020600",26400,"Cliffside Park Police"
NA,"NJ0161500",26310,"West Milford Police"
NA,"NJ0024600",26222,"Paramus Police"
10,"NV0040000",26202,"Elko County Sheriff's Office"
NA,"NJ0023300",26201,"Mahwah Township Police"
NA,"NC0510300",26087,"Clayton Police Department"
NA,"NJ0143500",26046,"Rockaway Township Police"
NA,"NY0050100",26012,"Auburn Police Department"
0,"OH0520200",25882,"Medina Police Department"
0,"OH0490000",25862,"Madison County Sheriff's Office"
NA,"CA0070500",25725,"El Cerrito Police Department"
NA,"OH0460000",25688,"Logan County Sheriff's Office"
NA,"NJ0071100",25531,"Maplewood Police"
NA,"NY0470000",25492,"Schoharie County Sheriff"
NA,"NJ0135200",25489,"Wall Township Police"
NA,"NY0110000",25399,"Cortland County Sheriff"
NA,"NY0190000",25316,"Greene County Sheriff"
NA,"NJ0143200",25311,"Randolph Township Police"
1,"OH0270000",25292,"Gallia County Sheriff's Office"
2,"MI6385100",25149,"Auburn Hills Police Department"
7,"OH0600100",25136,"Zanesville Police Department"
3,"OH0572200",25128,"Riverside Police Department"
NA,"TN0260000",25122,"Franklin County Sheriff's Office"
NA,"NY0280000",25113,"Montgomery County Sheriff"
NA,"NJ0025100",25036,"Ridgewood Village Police"
2,"OR0300000",25000,"Umatilla County Sheriff's Office"
3,"OR0341200",24979,"Tualatin Police Department"
NA,"NY0335300",24947,"DeWitt Town Police Department"
NA,"NY0590500",24786,"Ossining Village Police Department"
NA,"NY0220100",24624,"Watertown Police Department"
NA,"NY0290900",24604,"Rockville Centre Police Department"
2,"OH0220300",24422,"Sandusky Police Department"
NA,"NY0590100",24371,"Peekskill Police Department"
NA,"NJ0023100",24343,"Lodi Police"
0,"OH0520300",24324,"Wadsworth Police Department"
NA,"NJ0201600",24313,"Scotch Plains Police"
NA,"NJ0200300",24186,"Cranford Police"
NA,"NY0332900",24139,"Manlius Town Police Department"
NA,"NJ0122200",24100,"South Plainfield Police"
NA,"NY0335000",24098,"Camillus Town and Village Police Department"
NA,"NJ0060100",24032,"Bridgeton Police"
NA,"NJ0153300",23998,"Barnegat Township Police"
0,"OH0220000",23803,"Erie County Sheriff's Office"
8,"ND0450100",23801,"Dickinson Police Department"
0,"OH0110000",23766,"Champaign County Sheriff's Office"
0,"OH0750000",23562,"Shelby County Sheriff's Office"
NA,"NJ0120100",23444,"Carteret Police"
NA,"NJ0032100",23433,"Medford Township Police"
NA,"NJ0181300",23268,"Montgomery Township Police"
NA,"ND0300200",23221,"Mandan Police Department"
NA,"NJ0023200",23169,"Lyndhurst Police Department"
0,"OH0431200",23058,"Willoughby Police Department"
10,"MA0011500",23015,"Yarmouth Police Department"
NA,"NJ0121800",22847,"Plainsboro Township Police"
NA,"NY0240000",22747,"Lewis County Sheriff"
5,"OH0640000",22704,"Perry County Sheriff's Office"
0,"OH0184900",22703,"Solon Police Department"
NA,"NY0550100",22682,"Kingston Police Department"
NA,"NJ0030600",22595,"Burlington Township Police"
NA,"NJ0090900",22535,"Secaucus Police"
NA,"NY0290500",22465,"Garden City Village Police Department"
NA,"NJ0143600",22439,"Roxbury Township Police"
NA,"NY0465200",22428,"Niskayuna Town Police Department"
NA,"NJ0102100",22402,"Raritan Township Police"
9,"FL0110100",22388,"Naples Police Department"
0,"OH0770500",22234,"Hudson Police Department"
NA,"NJ0142200",22100,"Morris Township Police"
1,"RI0040600",22029,"Lincoln Police Department"
NA,"NJ0200700",21995,"Hillside Police"
NA,"NY0136400",21973,"Fishkill Town Police Department"
NA,"NJ0151600",21928,"Little Egg Harbor Township Police"
NA,"NJ0201800",21917,"Summit Police"
NA,"NJ0201400",21867,"Roselle Police"
NA,"NJ0192200",21819,"Vernon Township Police"
0,"RI0010200",21748,"Bristol Police Department"
NA,"OH0710100",21700,"Chillicothe Police Department"
NA,"NY0465100",21609,"Glenville Town Police Department"
NA,"CA0350000",21600,"San Benito Sheriff"
12,"NM0170100",21460,"Gallup Police Department"
15,"OH0660000",21293,"Pike County Sheriff's Office"
NA,"NJ0181400",21279,"North Plainfield Police"
0,"OH0185000",21179,"South Euclid Police Department"
NA,"NJ0050500",21177,"Lower Township Police"
NA,"OH0370000",21075,"Hocking County Sheriff's Office"
NA,"KY0870000",21042,"Montgomery County Sheriff's Office"
NA,"NJ0142100",20982,"Montville Township Police"
NA,"NJ0090400",20937,"Harrison Police"
NA,"NJ0082000",20878,"West Deptford Township Police"
NA,"NJ0024500",20818,"Palisades Park Police"
NA,"OH0010000",20817,"Adams County Sheriff's Office"
NA,"NY0136500",20766,"Hyde Park Town Police Department"
11,"NV0040100",20697,"Elko Police Department"
19,"OR0020000",20680,"Benton County Sheriff's Office"
NA,"NJ0141400",20626,"Jefferson Township Police"
NA,"NY0275900",20603,"Ogden Town Police Department"
2,"NB0770200",20512,"Papillion Police Department"
NA,"NJ0032300",20491,"Moorestown Police"
NA,"NJ0080600",20461,"Glassboro Police"
5,"NV0020900",20290,"Mesquite Police Department"
5,"CA0110000",20260,"Glenn County Sheriff"
1,"OH0030100",20247,"Ashland Police Department"
NA,"NY0310100",20212,"Lockport Police Department"
NA,"NY0324100",20173,"New Hartford Town and Village Police Department"
0,"OH0730200",20151,"Portsmouth Police Department"
NA,"NJ0011900",20135,"Pleasantville Police"
NA,"NJ0071200",20053,"Millburn Police"
NA,"MI6339400",20048,"Ferndale Police Department"
NA,"OR0270000",19996,"Polk County Sheriff's Office"
NA,"NY0595200",19991,"Eastchester Town Police Department"
NA,"NY0515900",19957,"Southold Town Police Department"
1,"OH0184600",19951,"Rocky River Police Department"
NA,"NY0515200",19927,"East Hampton Town Police Department"
NA,"OH0312800",19843,"Norwood Police Department"
NA,"OH0253500",19828,"Madison Township Police Department"
NA,"NY0610000",19804,"Yates County Sheriff"
0,"OH0184300",19679,"Parma Heights Police Department"
NA,"NY0490000",19652,"Seneca County Sheriff"
NA,"NJ0133900",19593,"Hazlet Township Police"
4,"RI0040100",19530,"Central Falls Police Department"
NA,"NY0090100",19460,"Plattsburgh Police Department"
NA,"NY0290700",19441,"Lynbrook Village Police Department"
1,"NJ0142400",19337,"Morristown Police"
NA,"#N/A",NA,"Aberdeen Township Police"
7,"TX1010200",19210,"Bellaire Police Department"
NA,"NY0590900",19154,"Mamaroneck Village Police Department"
21,"FL0250000",19115,"Hardee County Sheriff"
NA,"NY0558000",18956,"Saugerties Town Police Department"
NA,"OH0771400",18895,"Twinsburg Police Department"
NA,"NJ0152400",18842,"Point Pleasant Boro Police"
NA,"NJ0160400",18728,"Hawthorne Police"
NA,"NY0110100",18615,"Cortland Police Department"
3,"OH0400000",18591,"Jackson County Sheriff's Office"
10,"OH0311200",18571,"Forest Park Police Department"
NA,"OH0180600",18539,"Berea Police Department"
NA,"NJ0191800",18467,"Sparta Police"
NA,"NY0357000",18459,"Warwick Town Police Department"
2,"OH0182900",18404,"Mayfield Heights Police Department"
NA,"NJ0032000",18402,"Maple Shade Police"
NA,"NJ0025600",18307,"Rutherford Police"
NA,"NJ0050600",18093,"Middle Twsp Police"
3,"OH0430100",17982,"Eastlake Police Department"
NA,"NY0591000",17953,"Scarsdale Village Police Department"
NA,"NJ0141700",17850,"Madison Police Department"
NA,"NY0280100",17675,"Amsterdam Police Department"
NA,"NY0140200",17674,"Lackawanna Police Department"
NA,"NY0595000",17672,"Bedford Police Department"
0,"OH0410300",17656,"Steubenville Police Department"
NA,"NJ0140900",17654,"Dover Police"
NA,"NJ0110600",17641,"Hopewell Township Police"
NA,"NJ0021000",17507,"Dumont Police"
NA,"NJ0133600",17388,"Tinton Falls Police"
0,"OH0772700",17280,"Copley Police Department"
NA,"NJ0042200",17206,"Lindenwold Boro Police"
NA,"NY0010000",17188,"Albany County Sheriff"
NA,"RI0030400",17162,"Portsmouth Police Department"
NA,"NY0370200",17138,"Oswego Police Department"
NA,"NJ0027000",16950,"Wyckoff Township Police"
0,"OH0530000",16792,"Meigs County Sheriff's Office"
NA,"NY0010200",16746,"Cohoes Police Department"
NA,"OH0420100",16743,"Mount Vernon Police Department"
NA,"NJ0071900",16732,"South Orange Police"
NA,"NJ0131800",16726,"Holmdel Police"
1,"OH0200100",16576,"Defiance Police Department"
1,"OH0671200",16527,"Streetsboro Police Department"
NA,"NJ0031000",16444,"Delran Township Police Department"
1,"OH0670100",16430,"Aurora Police Department"
NA,"NJ0030800",16429,"Cinnaminson Police"
NA,"NJ0023800",16417,"New Milford Police"
1,"OH0131400",16407,"Goshen Township Police Department"
NA,"NJ0140800",16400,"Denville Police"
NA,"MI8286200",16288,"Huron Township Police Department"
NA,"NY0415200",16186,"East Greenbush Town Police Department"
NA,"OH0181900",16081,"Fairview Park Police Department"
NA,"NY0146300",16061,"Evans Town Police Department"
NA,"NJ0200200",16026,"Clark Police"
NA,"OH0451100",15991,"Pataskala Police Department"
NA,"NY0290300",15844,"Floral Park Village Police Department"
NA,"NJ0102200",15813,"Readington Police"
NA,"NY0480000",15763,"Schuyler County Sheriff"
NA,"NJ0122300",15731,"South River Police"
NA,"OH0350000",15727,"Henry County Sheriff's Office"
NA,"NJ0023900",15695,"North Arlington Police"
NA,"NJ0182000",15689,"Warren Township Police Department"
