ori-1,percent_officers_white,percent_officers_black,percent_officers_hispanic,percent_officers_asianpacific,percent_officers_native_american,percent_officers_other,civilian_complaints_reported_2016,civilian_complaints_reported_2018,civilian_complaints_reported_2019,civilian_complaints_reported_2020,civilian_complaints_reported_2021,civilian_complaints_reported_2022,population
AR0720200,0.84,0.01,0.11,0.01,0.01,0.02,8,13,9,18,,,74914
MA0120300,0.71,0.21,0.08,0.01,0,0,14,19,22,32,27,,99171
VA0210100,0.88,0.08,0.02,0.01,0,0,29,44,56,67,107,88,356705
MD0140100,0.78,0.13,0.03,0.05,0,0,7,14,13,8,14,10,329010
NV0160100,0.84,0.01,0.09,0.03,0.01,0.01,21,30,22,33,41,,259168
MI3913900,1,0,0,0,0,0,30,59,53,47,49,,108184
TX0570400,0.89,0.06,0.02,0.02,0,0.01,,81,,68,70,,83926
TN0630100,0.83,0.11,0.04,0,0,0.03,11,8,4,13,13,,161167
GA1060100,0.71,0.25,0.02,0,0,0.01,79,58,41,23,27,,195998
TX0680200,0.59,0.08,0.33,0,0,0,27,19,29,15,8,25,124059
AK0010100,0.81,0.05,0.05,0.05,0.02,0.02,207,320,254,227,223,,286388
FL0510000,0.86,0.01,0.09,0,0,0.02,,,,158,160,,518973
SC0400000,0.66,0.3,0.04,0.01,0,0,170,89,121,143,88,,269653
NJ0010200,0.69,0.2,0.09,0.02,0,0,,,,52,48,,37550
NJ0090100,0.86,0.02,0.12,0,0,0,,,,23,31,,65013
NJ0070100,0.79,0.03,0.15,0.03,0,0,,,,55,9,,36533
NJ0070200,0.67,0.07,0.21,0.05,0.01,0,,,,59,53,,50221
NJ0050200,0.95,0.05,0,0,0,0,,,,9,2,,3401
NJ0070600,0.05,0.84,0.1,0,0,0.01,,,,291,187,,64320
NJ0041500,0.96,0.02,0.02,0,0.01,0,,,,73,82,,63755
NJ0090500,0.67,0.04,0.29,0,0,0,,,,168,47,,52902
NJ0070900,0.07,0.79,0.12,0.01,0,0.01,,,,35,79,,54306
NJ0151400,0.77,0.11,0.1,0,0,0.02,20,17,32,26,8,,108023
NJ0200900,0.8,0.05,0.15,0,0,0,,,,60,21,,42515
NJ0071300,0.7,0.18,0.08,0.03,0,0.02,,,,35,23,,38621
NJ0090800,0.43,0,0.55,0.01,0,0.01,,,,43,22,,60567
NJ0111100,0.55,0.16,0.29,0,0,0,,,,49,99,,82909
NJ0201900,0.85,0.07,0.08,0,0,0,,,,26,27,,58613
NJ0061400,0.75,0.04,0.21,0,0,0,,,,102,34,,59288
NJ0091200,0.22,0.01,0.77,0,0,0,,,,21,9,,52977
NJ0026800,1,0,0,0,0,0,,,,0,1,,5845
OR0340000,0.89,0.01,0.04,0.04,0.01,0.01,11,19,2,13,9,,243892
NC0410000,0.85,0.11,0.03,0,0.01,0,5,6,7,9,44,,129775
GA0580000,0.96,0.02,0.01,0.02,0,0,27,59,52,41,50,,246121
NC0340000,0.86,0.11,0.01,0,0.01,0,,43,40,26,,,110377
WI0130000,0.91,0.04,0.02,0.03,0,0,,33,13,13,22,,85703
FL0060000,0.62,0.14,0.21,0.01,0,0,,,202,158,,,11059
GA0560000,0.86,0.09,0.04,0,0,0.01,51,68,77,67,41,,52901
NY0260000,0.96,0.01,0.02,0,0,0,0,0,0,0,0,6,43099
NY0380000,1,0,0,0,0,0,,,6,2,2,,43171
SC0070000,0.85,0.08,0.05,0,0.01,0,14,4,11,6,,,141108
NY0145500,0.99,0,0.01,0,0,0,10,17,9,2,8,,76536
GA0330200,0.8,0.13,0.05,0.02,0,0,,,,172,,,567781
GA0570100,0.96,0,0.04,0,0,0,,,,15,,,60764
GA0670200,0.75,0.19,0.04,0.01,0,0.01,,,,118,,11,808447
GA0750500,0.76,0.21,0.02,0.01,0,0.01,,,,2,,,193599
KS0810000,0.94,0.04,0.02,0,0,0,,,,7,,,74392
MD0172100,0.45,0.42,0.09,0.03,0,0,,,,228,25,24,697717
NY0510100,0.85,0.02,0.1,0,0,0.02,,,,184,,,1303112
NY0590000,0.73,0.04,0.1,0,0,0.13,,,,13,,,69019
SC0260400,0.87,0.08,0.01,0.01,0,0.03,,,,56,,,275827
VA0020300,0.91,0.06,0.02,0.01,0,0.01,,,,10,,,110426
VA0430100,0.9,0.05,0.03,0.01,0,0,,,,105,,,333274
VA0800300,0.91,0.07,0.02,0,0,0.01,,,,6,,,86192
AL0010100,0.48,0.52,0,0,0,0,,,,2,,,26347
AL0010200,0.4,0.58,0.02,0,0,0,,,,24,,,207443
AL0011200,0.88,0.12,0,0,0,0,,,,3,,,61273
AL0020100,0.67,0.29,0.02,0.01,0.01,0,,,,106,,,243900
AL0030100,0.54,0.45,0.01,0.01,0,0,,,,264,,,197755
AL0110500,0.95,0,0,0,0,0.05,,,,1,,,17017
AL0290300,0.67,0.33,0,0,0,0,,,,1,,,1016
AL0310200,0.91,0.07,0,0,0,0.02,,,,11,,,34791
AL0320100,0.67,0.33,0,0,0,0,,,,0,,,4239
AL0380100,0.86,0.09,0.02,0.02,0.01,0,,,,94,,,67975
AL0410100,0.93,0.05,0.02,0,0,0,,,,19,,,40936
AL0430100,0.81,0.17,0.01,0,0,0.01,,,,14,,,67814
AL0470100,0.82,0.16,0.01,0.01,0,0,,,,254,,,200771
AL0600200,0.2,0.8,0,0,0,0,,,,0,,,3240
AR0230100,0.9,0.07,0.02,0,0.01,0,,,,5,,,68599
AR0260100,0.91,0.06,0.03,0,0,0,,,,7,,,38893
AR0350100,0.37,0.6,0,0.01,0,0.02,,,,51,,,40718
AR0600300,0.9,0.09,0.02,0,0,0,,,,14,,,66303
AR0710100,0.86,0,0,0,0.14,0,,,,3,,,2008
AZ0072100,0.8,0.03,0.12,0.02,0.01,0.03,,,,0,,,178486
AZ0100700,0.81,0.01,0.16,0.02,0,0,,,,14,,,46634
CO0300400,0.81,0.03,0.14,0.02,0,0,,,,110,,,159719
CO0350200,1,0,0,0,0,0,,,,6,,,6480
CO0450100,0.62,0.08,0.31,0,0,0,,,,0,,,6859
CO0510100,0.66,0.02,0.3,0,0.01,0.02,,,,16,,,113002
CO0620200,0.9,0.01,0.08,0.01,0,0,,,,9,,,110505
CO0640100,0.87,0.02,0.1,0,0,0.02,,,,4,,,71795
CT0000200,0.88,0.05,0.07,0,0,0,,,,12,,,18586
CT0004300,0.84,0.07,0.08,0,0,0.01,,,,16,,,49720
CT0005100,0.93,0.04,0.04,0,0,0,,,,8,,,62311
CT0005700,0.86,0.07,0.05,0.01,0,0,,,,6,,,63012
CT0006400,0.67,0.12,0.19,0.01,0,0,,,,73,71,,121749
CT0008300,0,0,0,0,0,1,,,,20,,,46106
CT0008400,0.93,0.04,0.04,0,0,0,,,,17,,,54968
CT0010100,0.94,0.02,0.04,0,0,0,,,,2,,,23639
CT0013800,0.7,0.1,0.2,0,0,0,,,,13,,,51895
CT0015100,0.79,0.08,0.13,0,0,0,,,,36,,,107263
CT0015500,0.94,0.02,0.03,0.01,0,0,,,,9,,,62911
FL0062100,0.76,0.08,0.15,0,0,0.01,,,,5,,,59449
FL0130200,0.34,0.06,0.59,0.01,0,0,,,,10,,,50017
FL0130400,0.09,0.06,0.83,0.01,0,0.01,,,,47,,,234235
FL0131000,0.3,0.22,0.46,0,0,0.02,,,,14,,,43273
FL0131100,0.15,0.08,0.75,0.02,0,0,,,,10,,,68425
FL0132500,0.5,0,0.5,0,0,0,,,,0,,,89
FL0190100,0.86,0.14,0,0,0,0,,,,0,,,2369
FL0350100,0.84,0.08,0.08,0,0,0,,,,11,,,21642
FL0370300,0.77,0.16,0.05,0.01,0,0.01,,,,20,,171,196012
FL0410200,0.78,0.07,0.13,0,0,0.02,,,,42,,,60688
FL0420300,1,0,0,0,0,0,,,,0,,,1852
FL0500300,0.7,0.1,0.19,0,0,0.01,,,,23,,,79913
FL0500400,0.72,0.1,0.13,0.01,0,0.04,,,,56,,,70487
FL0500700,0.38,0.61,0.01,0.01,0,0,,,,11,,,35798
FL0502600,0.7,0.12,0.15,0.02,0,0.01,,,,7,,,58629
FL0560100,0.58,0.23,0.17,0.02,0,0,,,,63,,,46574
FL0580100,0.79,0.1,0.09,0.02,0,0,,,,66,,,59002
FL0580300,0.9,0.04,0.06,0,0,0,,,,7,,,72389
FL0640100,0.72,0.19,0.08,0.01,0,0,,,,6,,,70084
GA0330300,0.83,0.1,0.07,0,0,0,,,,6,,,61348
GA0600200,0.31,0.65,0.02,0,0,0.02,,,,12,,,34997
GA0650200,0.6,0.4,0,0,0,0,,,,0,,,464
GA0920100,0.75,0.2,0.03,0.02,0,0,,,,17,,,56628
GA0990200,0.5,0.33,0.17,0,0,0,,,,4,,,842
GA1190200,1,0,0,0,0,0,,,,0,,,1111
GA1260100,0.81,0.17,0.01,0,0,0,,,,28,,,22773
GA1330200,0.33,0.67,0,0,0,0,,,,0,,,949
HI0040000,0.26,0,0,0.33,0,0.41,11,16,14,14,12,13,72121
IA0070300,0.96,0.02,0.01,0,0,0.02,,,,61,,,67200
IA0310100,0.94,0.03,0.03,0,0,0,,,,0,,,57904
IA0750100,1,0,0,0,0,0,,,,5,,,10110
IA0780100,0.98,0,0.02,0,0,0,,,,24,,,62144
IA0820200,0.93,0.03,0.04,0,0,0,,,,78,,,101806
IA0850200,0.9,0,0.1,0,0,0,,,,0,,,6662
IA0970100,0.94,0.02,0.02,0.01,0,0,,,,69,,,82622
ID0210100,1,0,0,0,0,0,,,,2,,,5592
ID0280500,1,0,0,0,0,0,,,,0,,,9449
IL0163500,0.84,0.05,0.05,0.05,0,0,,,,8,,,13653
IL0167900,0.9,0,0.07,0,0,0.02,,,,6,,,27084
IL0168300,0.94,0.01,0.05,0.01,0,0,,,,28,,,57806
IL0168800,0.9,0.1,0,0,0,0,,,,4,,,17904
IL0169700,0,1,0,0,0,0,,,,6,,,5448
IL0200100,0.92,0,0.08,0,0,0,,,,0,,,6799
IL0221600,0.89,0,0.07,0,0,0.04,,,,0,,,18781
IL0440200,1,0,0,0,0,0,,,,0,,,1061
IL0450100,0.78,0.07,0.16,0,0,0,,,,0,,,130539
IL0510200,1,0,0,0,0,0,,,,2,,,4396
IL0560100,0.95,0,0.05,0,0,0,,,,1,,,22138
IL0590900,1,0,0,0,0,0,,,,0,,,4924
IL0600500,0.93,0.05,0.02,0,0,0,,,,2,,,25327
IL0690200,1,0,0,0,0,0,,,,0,,,964
IL0730200,1,0,0,0,0,0,,,,1,,,5343
IL0820800,1,0,0,0,0,0,,,,0,,,4225
IL0960100,1,0,0,0,0,0,,,,2,,,4914
IN0150300,1,0,0,0,0,0,,,,3,,,4320
IN0180100,0.96,0.04,0,0,0,0,,,,0,,,67760
IN0290100,0.92,0.05,0.02,0,0,0.01,,,,31,,,103100
IN0380200,1,0,0,0,0,0,,,,26,,,5978
IN0480200,0.87,0.09,0.01,0,0.01,0.03,,,,13,,,54623
IN0710100,0.99,0,0,0.01,0,0,,,,11,,,50610
IN0760100,1,0,0,0,0,0,,,,1,,,8748
IN0840100,0.97,0.03,0,0,0,0,,,,20,,,60604
KS0210300,1,0,0,0,0,0,,,,0,,,1332
KS0220100,0.75,0.25,0,0,0,0,,,,0,,,1188
KS0290100,0.78,0.05,0.18,0,0,0,,,,13,,,27066
KS0870500,0.8,0.13,0.07,0,0,0,,,,6,,,7383
KS0970100,0.75,0,0.17,0,0,0.08,,,,1,,,5365
KY0340200,0.87,0.1,0.02,0,0,0.01,,,,180,,,325851
KY0470100,0.92,0.04,0.02,0,0,0.02,,,,2,,,30505
KY0580100,1,0,0,0,0,0,,,,0,,,3964
KY0590100,0.96,0.04,0,0,0,0,,,,2,,,40324
KY0591100,1,0,0,0,0,0,,,,0,,,6819
LA0010300,0.89,0.11,0,0,0,0,,,,0,,,4336
LA0090100,0.6,0.36,0.02,0.02,0.01,0,,,,103,,,183057
LA0260100,0.83,0.14,0.02,0.01,0,0,,,,10,,,17637
LA0260300,0.78,0.15,0.06,0,0,0.01,,,,88,,,66308
LA0370100,0.69,0.31,0,0,0,0,,,,1,,,47119
LA0400100,0.78,0.19,0.01,0.01,0,0,,,,0,,,45986
MA0010100,0.92,0.03,0.03,0,0,0.02,,,,1,,,44169
MA0070500,0.82,0.03,0.03,0,0,0.12,,,,9,,,54918
MA0071000,0.92,0.01,0.08,0,0,0,,,,8,,,40002
MA0072100,0.85,0.15,0,0,0,0,,,,7,,,28437
MA0092600,0.79,0.02,0.13,0.05,0,0,,,,28,,,110876
MA0094700,0.95,0.02,0.03,0,0,0,,,,3,,,62339
MA0110100,1,0,0,0,0,0,,,,3,,,4561
MA0110400,0.79,0.06,0.05,0.07,0,0.02,,,,2,,,59057
MA0130300,0.62,0.04,0.32,0.03,0,0,,,,2,,,39995
MA0141800,0,0,0,0,0,1,,,,2,,,3047
MA0141900,0.89,0.11,0,0,0,0,,,,2,,,6595
MD0020100,0.66,0.25,0.05,0.04,0.01,0,,,,70,,,39315
ME0050800,1,0,0,0,0,0,,,,2,,,1795
ME0062100,1,0,0,0,0,0,,,,1,,,3340
ME0090300,1,0,0,0,0,0,,,,2,,,2624
ME0160200,1,0,0,0,0,0,,,,0,,,9855
MI0364100,1,0,0,0,0,0,,,,0,,,3997
MI2539800,0,0,0,0,0,1,,,,15,,,94842
MI2589900,1,0,0,0,0,0,,,,5,,,7431
MI3238700,1,0,0,0,0,0,,,,0,,,1038
MI3356300,0.92,0,0.08,0,0,0,,,,6,,,8480
MI3384300,0.87,0,0.13,0,0,0,,,,2,,,8254
MI3849700,0.85,0.11,0.04,0,0,0,,,,4,,,32332
MI4175400,1,0,0,0,0,0,,,,0,,,4429
MI4632000,0.75,0,0.25,0,0,0,,,,3,,,2285
MI4668900,0.8,0.2,0,0,0,0,,,,2,,,7784
MI4693500,1,0,0,0,0,0,,,,0,,,8229
MI5076500,0.97,0.02,0,0.01,0,0,,,,57,,,132745
MI5080600,0.98,0.01,0.01,0.01,0,0,,,,16,,,133928
MI5249500,1,0,0,0,0,0,,,,0,,,6410
MI7371800,1,0,0,0,0,0,,,,2,,,38971
MI7879700,1,0,0,0,0,0,,,,0,,,767
MI8023100,0.8,0,0.2,0,0,0,,,,3,,,1827
MI8121800,0.85,0.09,0.02,0.01,0.03,0,,,,29,,,120647
MO0020100,1,0,0,0,0,0,,,,1,,,5240
MO0110100,0.95,0.04,0.01,0,0,0,,,,51,,,74680
MO0270500,1,0,0,0,0,0,,,,0,,,760
MO0550100,0.94,0,0.06,0,0,0,,,,3,,,7441
MO0610300,0.85,0.08,0,0,0,0.08,,,,0,,,5326
MO0660300,1,0,0,0,0,0,,,,3,,,1708
MO0820100,1,0,0,0,0,0,,,,6,,,5617
MS0240100,0.89,0.08,0.01,0.02,0,0.01,,,,15,,,46433
MS0240200,0.9,0.1,0,0,0,0,,,,89,,,72142
MS0610600,0.94,0.06,0,0,0,0,,,,3,,,4536
NB0610100,1,0,0,0,0,0,,,,2,,,2867
NB0650100,1,0,0,0,0,0,,,,2,,,1791
NC0010100,0.91,0.05,0.03,0,0,0.01,,,,23,,,54150
NC0100800,0.92,0,0,0,0.08,0,,,,0,,,680
NC0110100,0.9,0.06,0.03,0,0,0,,,,41,,,93980
NC0160400,1,0,0,0,0,0,,,,0,,,4646
NC0180200,0.85,0.07,0.05,0.04,0,0,,,,10,,,41217
NC0350200,0.33,0.56,0.11,0,0,0,,,,0,,,2267
NC0360400,0.83,0.17,0,0,0,0,,,,2,,,4835
NC0440100,1,0,0,0,0,0,,,,1,,,4364
NC0530100,0.86,0.1,0.04,0.01,0,0,,,,1,,,30299
NC0630200,0.87,0.13,0,0,0,0,,,,3,,,16837
NC0680100,0.87,0.08,0.05,0,0,0.01,,,,31,,,61755
NC0740300,0.74,0.16,0.06,0,0.01,0.03,,,,49,,,94372
NC0780100,0.55,0.16,0,0.01,0.27,0.01,,,,4,,,20370
NC0780200,0.33,0.22,0,0,0.44,0,,,,6,,,2152
NC0860300,1,0,0,0,0,0,,,,0,,,1406
NC0921700,0.89,0.11,0,0,0,0,,,,7,,,39600
NC0980100,0.71,0.21,0.06,0,0,0.03,,,,25,,,49486
NC0990300,1,0,0,0,0,0,,,,1,,,1139
ND0080100,0.98,0.01,0.01,0,0,0,,,,14,30,,74997
ND0260200,1,0,0,0,0,0,,,,0,,,880
NH0050400,0.8,0,0,0,0,0.2,,,,0,,,2053
NH0060600,1,0,0,0,0,0,,,,6,,,22788
NH0061000,1,0,0,0,0,0,,,,0,,,5506
NH0071000,1,0,0,0,0,0,,,,0,,,1714
NJ0024200,0.96,0,0.04,0,0,0,,,,1,,,12929
NJ0033100,0.93,0.07,0,0,0,0,,,,5,,,7788
NJ0043200,1,0,0,0,0,0,,,,8,,,6937
NJ0090600,0.4,0.11,0.31,0.04,0,0.13,,,,59,,,263273
NJ0091000,0.19,0.02,0.79,0,0,0,,,,41,,,68055
NJ0121400,0.65,0.13,0.18,0.03,0,0.01,,,,75,,,55701
NJ0122500,0.84,0.02,0.11,0.02,0.01,0,,,,106,,,100119
NJ0131500,0.79,0.04,0.18,0,0,0,,,,3,,,11643
NJ0142800,1,0,0,0,0,0,,,,0,,,3116
NJ0161400,0.96,0.02,0.02,0.01,0,0,,,,35,,,53162
NJ0180700,1,0,0,0,0,0,,,,1,,,903
NJNPD0000,0.24,0.34,0.42,0,0,0,,,,862,,,282242
NM0220100,0.67,0,0.24,0,0,0.1,,,,6,,,11525
NV0140100,0.6,0,0.4,0,0,0,,,,0,,,1822
NY0030100,0.9,0.04,0.05,0,0,0.01,,,,29,,,44083
NY0042000,0.94,0.06,0,0,0,0,,,,0,,,1685
NY0110100,1,0,0,0,0,0,,,,10,,,18615
NY0122900,0.8,0.2,0,0,0,0,,,,0,,,2768
NY0124200,1,0,0,0,0,0,,,,1,,,1947
NY0130100,0.83,0.05,0.12,0,0,0,,,,7,,,13984
NY0140300,1,0,0,0,0,0,,,,0,,,14700
NY0143000,1,0,0,0,0,0,,,,0,,,9744
NY0143200,1,0,0,0,0,0,,,,0,,,2852
NY0145100,0.98,0.01,0.01,0,0,0,,,,0,,,121304
NY0147200,0.96,0.02,0.01,0,0,0.01,,,,10,,,56503
NY0147400,0.98,0,0,0,0,0.02,,,,0,,,45278
NY0192100,0.89,0,0.11,0,0,0,,,,1,,,3787
NY0192500,0.82,0,0.18,0,0,0,,,,0,,,1672
NY0212500,0.75,0,0.06,0,0,0.19,,,,3,,,1933
NY0222600,1,0,0,0,0,0,,,,0,,,689
NY0223800,1,0,0,0,0,0,,,,2,,,3250
NY0260100,0.96,0,0,0,0,0.04,,,,5,,,10849
NY0270200,0.96,0.02,0,0,0,0.02,,,,11,,,49889
NY0290400,0.67,0.15,0.17,0,0,0.01,22,15,11,10,21,,42962
NY0290600,0.52,0.29,0.09,0,0,0.11,,,,24,,,55230
NY0293500,1,0,0,0,0,0,,,,0,,,2919
NY0296300,0.88,0,0.08,0,0,0.04,,,,0,,,3161
NY0298800,0.86,0,0.07,0,0,0.07,,,,0,,,4300
NY0310200,0.95,0.05,0,0,0,0,,,,46,,,47474
NY0315400,0.96,0.04,0,0,0,0,,,,0,,,15671
NY0320200,0.91,0.04,0.05,0,0,0.01,,,,25,,,59483
NY0324000,1,0,0,0,0,0,,,,2,,,3200
NY0325000,0.93,0,0.07,0,0,0,,,,2,,,8948
NY0333100,1,0,0,0,0,0,,,,4,,,2191
NY0350100,0.89,0.01,0.1,0,0,0,,,,2,,,28194
NY0357700,0.95,0,0.05,0,0,0,,,,2,,,8095
NY0358100,0.71,0.07,0.22,0,0,0,,,,2,,,8938
NY0362100,0.92,0,0.08,0,0,0,,,,0,,,1669
NY0395100,0.94,0,0.06,0,0,0,,,,0,,,13123
NY0435000,0.87,0.02,0.11,0,0,0,,,,2,,,80462
NY0435300,0.84,0.07,0.09,0,0,0,,,,6,,,95165
NY0460100,0.88,0.05,0.03,0,0,0.03,,,,20,,,65176
NY0515800,0.91,0.04,0.05,0,0,0,,,,10,,,51162
NY0522200,0.56,0.24,0.2,0,0,0,,,,0,,,6338
NY0532000,1,0,0,0,0,0,,,,0,,,4083
NY0552600,0.8,0.1,0.1,0,0,0,,,,1,,,4000
NY0556600,0.87,0.13,0,0,0,0,,,,2,,,5754
NY0590200,0.65,0.12,0.22,0,0,0.01,,,,12,,,58240
NY0590300,0.39,0.37,0.22,0,0,0.02,,,,25,,,67339
NY0590700,0.63,0.06,0.15,0,0,0.16,,,,50,,,200816
NY0592200,0.82,0.09,0.1,0,0,0,,,,0,,,6422
NY0592800,0.72,0.07,0.21,0,0,0,,,,0,,,11383
NY0595300,0.66,0.15,0.14,0,0,0.05,,,,5,,,44727
NY0595900,0.88,0.06,0.06,0,0,0,,,,2,,,12266
NY0596300,1,0,0,0,0,0,,,,1,,,5133
OH0040200,1,0,0,0,0,0,,,,2,,,12498
OH0040300,0.83,0,0.17,0,0,0,,,,1,,,5908
OH0040700,0.8,0,0,0,0,0.2,,,,0,,,2779
OH0120200,0.9,0.08,0.03,0,0,0,,,,14,,,58696
OH0180200,0.95,0.02,0,0,0,0.02,,,,3,,,11547
OH0184300,1,0,0,0,0,0,,,,5,,,19679
OH0260300,1,0,0,0,0,0,,,,0,,,1237
OH0470500,0.81,0.03,0.14,0,0,0.02,,,,20,,,63831
OH0500900,0.79,0.16,0.04,0,0,0.01,,,,66,,,65316
OH0640100,1,0,0,0,0,0,,,,0,,,2477
OH0671200,0.97,0,0,0,0,0.03,,,,0,,,16527
OH0750400,0.67,0,0,0,0,0.33,,,,0,,,1527
OH0760400,0.86,0.11,0.01,0.01,0,0.01,,,,10,,,70124
OH0762100,1,0,0,0,0,0,,,,1,,,4343
OH0762300,1,0,0,0,0,0,,,,7,,,28005
OH0770100,0.81,0.17,0.01,0.01,0,0,,,,36,,,197433
OH0840100,1,0,0,0,0,0,,,,1,,,6381
OH0871200,1,0,0,0,0,0,,,,0,,,1242
OK0140200,0.89,0.04,0.03,0.01,0.03,0,,,,76,,,126480
OK0720400,1,0,0,0,0,0,,,,0,,,5578
OR0240200,0.93,0,0.06,0.01,0,0,,,,17,,,148166
PA0031000,1,0,0,0,0,0,,,,0,,,2545
PA0080300,1,0,0,0,0,0,,,,3,,,6334
PA0094700,1,0,0,0,0,0,,,,2,,,20255
PA0233700,0.98,0.02,0,0,0,0,,,,13,,,82947
PA0380300,1,0,0,0,0,0,,,,0,,,7616
PA0390100,0.88,0.03,0.09,0,0,0,,,,22,,,121818
PA0430200,1,0,0,0,0,0,,,,0,,,5202
PA0461400,0.94,0.05,0.02,0,0,0,,,,14,,,60353
PA0480900,0.94,0.03,0,0,0,0.03,,,,4,,,21506
PA0500300,1,0,0,0,0,0,,,,0,,,1586
PA0634000,1,0,0,0,0,0,,,,0,,,3517
PA0676000,1,0,0,0,0,0,,,,2,,,7597
RI0050400,0.98,0,0,0,0,0.02,,,,12,,,22277
SC0090200,0.43,0.57,0,0,0,0,,,,4,,,1901
SC0210100,0.63,0.37,0,0,0,0,,,,10,,,38597
SC0230200,0.83,0.13,0.03,0.01,0.01,0,,,,74,,,72014
SC0260600,0.95,0.05,0,0,0,0,,,,61,,,35658
SC0430100,0.65,0.34,0.01,0,0,0,,,,8,,,39542
SD0180100,1,0,0,0,0,0,,,,0,,,1709
TN0060100,0.91,0.04,0.03,0.01,0,0,,,,0,,,45994
TN0070100,1,0,0,0,0,0,,,,4,,,2148
TN0350100,0.74,0.22,0.04,0,0,0,,,,15,,,4892
TN0470100,0.93,0.06,0,0,0,0,,,,23,,,188672
TN0570100,0.73,0.25,0.01,0,0,0,,,,37,,,67234
TN0750100,0.84,0.11,0,0.02,0.02,0,,,,93,,,151769
TN0790100,0.96,0.03,0,0,0,0.01,,,,17,,,51677
TN0790600,0.92,0.04,0.02,0,0,0.02,,,,3,,,59714
TN0820200,0.99,0.01,0,0,0,0,,,,14,,,51320
TN0830600,0.85,0.08,0,0,0.08,0,,,,1,,,5290
TN0900100,0.98,0.01,0.01,0,0,0.01,,,,4,,,65560
TN0900200,0.94,0.06,0,0,0,0,,,,2,,,5675
TN0920400,1,0,0,0,0,0,,,,0,,,2074
TN0940100,0.9,0.02,0.06,0.02,0.01,0,,,,40,,,85722
TX0140700,0.74,0.11,0.1,0.02,0.02,0.01,,,,0,,,79878
TX0200500,0.51,0.09,0.34,0,0,0.06,,,,0,,,12144
TX0200900,0.81,0.06,0.06,0,0,0.06,,,,3,,,13971
TX0210100,0.8,0.05,0.13,0.01,0,0.01,,,,17,,,87435
TX0310300,0.15,0.01,0.83,0.01,0,0,,,,0,,,65014
TX0610100,0.88,0,0.13,0,0,0,,,,0,,,4527
TX1010100,0.68,0.1,0.2,0.02,0,0.01,,,,13,,,73610
TX1011500,0.72,0.04,0.2,0.01,0,0.03,,,,17,,,151421
TX1050100,0.75,0.05,0.2,0,0,0,,,,26,,,67429
TX1080400,0.06,0.01,0.93,0,0,0,,,,25,,,103491
TX1081000,0.03,0.01,0.97,0,0,0,,,,3,,,85052
TX1230100,0.79,0.15,0.06,0,0,0,,,,104,,,116766
TX1260200,0.86,0.02,0.05,0.02,0,0.06,,,,31,,,39372
TX1290200,0.95,0.05,0,0,0,0,,,,1,,,7930
TX1660200,1,0,0,0,0,0,,,,1,,,5503
TX1750100,0.94,0.03,0.03,0,0,0,,,,0,,,23914
TX1840500,0.83,0.08,0.08,0,0,0,,,,0,,,6096
TX2202500,0.86,0,0,0,0,0.14,,,,0,,,5890
TX2210100,0.88,0.04,0.06,0,0,0,,,,8,,,118336
TX2340300,0.89,0,0,0,0.11,0,,,,0,,,3178
TX2430500,0.88,0.01,0.09,0.02,0.01,0,,,,62,,,104673
VA0350200,1,0,0,0,0,0,,,,6,,,2619
VA0750600,0.67,0.11,0.22,0,0,0,,,,0,,,6038
VA0840200,1,0,0,0,0,0,,,,1,,,1200
VA0960600,1,0,0,0,0,0,,,,0,,,4381
VA1020000,0.86,0.1,0.02,0.02,0,0,,,,37,,,47671
VA1070000,0.85,0.15,0,0,0,0,,,,40,,,39704
VA1160000,0.73,0.16,0.06,0.04,0,0.01,,,,212,,,178896
VA1170000,0.72,0.18,0.06,0.04,0,0,,,,113,,,242516
VA1200000,0.76,0.2,0.03,0,0,0,,,,132,,,94205
VA1230000,0.85,0.09,0.02,0.03,0,0.01,,,,15,,,99335
VA1260000,0.94,0.04,0,0,0.02,0,,,,2,,,25048
VA1270000,0.74,0.22,0.03,0,0,0.01,,,,14,,,92881
VT0140800,1,0,0,0,0,0,,,,0,,,2727
WA0050200,1,0,0,0,0,0,,,,0,,,3918
WA0060400,0.9,0,0,0.1,0,0,,,,2,,,16334
WA0130300,0.82,0,0.18,0,0,0,,,,6,,,8183
WA0140600,1,0,0,0,0,0,,,,6,,,1664
WA0270700,0.8,0.03,0.1,0.07,0,0,,,,24,,,10301
WA0310500,0.75,0,0,0,0,0.25,,,,1,,,71522
WA0370500,1,0,0,0,0,0,,,,1,,,15625
WI0111000,1,0,0,0,0,0,,,,2,,,3096
WI0140200,1,0,0,0,0,0,,,,0,,,1442
WI0250200,1,0,0,0,0,0,,,,2,,,2461
WI0280100,0.95,0,0.05,0,0,0,,,,1,,,12425
WI0290300,1,0,0,0,0,0,,,,0,,,2546
WI0450600,1,0,0,0,0,0,,,,0,,,912
WI0540200,0.96,0,0.03,0,0.01,0,,,,21,,,64682
WI0570200,0.97,0,0,0,0,0.03,,,,0,,,12175
WI0680400,0.96,0,0.04,0,0,0,,,,12,,,39703
WV0460100,0.83,0,0.17,0,0,0,,,,4,,,4963
WY0010100,0.98,0,0,0,0.02,0,,,,0,,,32913
AL0030000,0.6,0.4,0,0,0,0,,,,13,,,28557
AL0470000,0.87,0.1,0,0.01,0.01,0.01,,,,60,,,122385
AR0400000,0.82,0.18,0,0,0,0,,,,1,,,10906
